FILENAME	BYTES	SHA256	HISTORICAL_BYTES	HISTORICAL_SHA256	ROLE	CANONICAL	PORTABILITY_NOTE
HTS59_RESULTS_FOR_REVIEW.zip	47982	1557c7f4ec5a08f1714d008f67c46a014d9c8773a444c76bdceaaee60bf129fd	47894	e61ee6b6cca4dadcb32b9bf7c75c869c1a39927d5ca5638e3542f1467f9b3245	HISTORICAL_SUBSTANTIVE_REFERENCE_AND_HTS66_INPUT	YES	non-scientific absolute-path sanitization; substantive members byte-identical
HTS60_RESULTS_FOR_REVIEW.zip	51464	5077137b284feffaf81fa2afc0f71bd4a84c1dfa705906d8f384e3f6cce9e847	51332	32249ddf93aeada9defc689d4f270fa2da2cf68a82ba8a014bea39a6e250d617	HISTORICAL_SUBSTANTIVE_REFERENCE_AND_HTS66_INPUT	YES	non-scientific absolute-path sanitization; substantive members byte-identical
HTS61_RESULTS_FOR_REVIEW.zip	50051	a3cee388510a17bcd218b9485759760ed579f1c5d9c8c02f572b2fc44c38b0e3	50047	564de68be594cb25028abaddd1883cc53cf616b8d6b352608b6e5dc13a138e0d	HISTORICAL_SUBSTANTIVE_REFERENCE_AND_HTS66_INPUT	YES	non-scientific absolute-path sanitization; substantive members byte-identical
HTS62_RESULTS_FOR_REVIEW.zip	42729	f51b60503ae20361c9fbcdff4d50b2bac74266b0a270545cb71fe60b582c7a18	42555	bc6557b0b6eae13b2553ecbf39ad17c6c6e7c7bf7027c2de2f97827cdbaad936	EXACT_INPUT_GATE_FOR_HTS66_67	YES	non-scientific absolute-path sanitization; substantive members byte-identical
HTS63_RESULTS_FOR_REVIEW.zip	65646	6edf04ec0af66629015f08964986b508864e3430cb27ff99e078db83086a4456	65401	66edffe6d416957a5ae75f5fc258b784bde0a76edf5feeacd54f328a38a406b7	HISTORICAL_SUBSTANTIVE_REFERENCE_AND_HTS66_INPUT	YES	non-scientific absolute-path sanitization; substantive members byte-identical
HTS64_RESULTS_FOR_REVIEW.zip	221843	0f00f14c0a122fcb4f6dd3d522f4d01de199d279acbd0c3b8c99ebef27a35b3d	216441	64eedb9fc07abfcd4e2c6f365c403f4d953d674e4a4554751e9ffc27406ab925	HISTORICAL_SUBSTANTIVE_REFERENCE_AND_HTS66_INPUT	YES	non-scientific absolute-path sanitization; substantive members byte-identical
HTS65_RESULTS_FOR_REVIEW.zip	123951	0cd4714c250806eb2153900a5e42510655c715eb150b713e76338bc08cb326ab	121916	d1a74c3714434211848c16488201db8e66c9be1127a3aa235be98cabe8590efd	HISTORICAL_SUBSTANTIVE_REFERENCE_AND_HTS66_INPUT	YES	non-scientific absolute-path sanitization; substantive members byte-identical
HTS66_CORR_RESULTS_FOR_REVIEW.zip	20753	92556d7b755f4c7ff2bab1f4ab8cc568a384720cf860164c66810544cf89f54a	20979	125137a0735f4e5bffe940eb101d3e37e23f4b6d20ac06e115210aa1adee2a82	EXACT_INPUT_GATE_FOR_HTS66_67	YES	non-scientific absolute-path sanitization; substantive members byte-identical
HTS66_RESULTS_FOR_REVIEW.zip	5254	fade7d45c2f9b3d4ce89c43768cd20eeac11358c4d09b6e0f9722fc5a26540d9	5254	fade7d45c2f9b3d4ce89c43768cd20eeac11358c4d09b6e0f9722fc5a26540d9	PROHIBITED_FAILED_HOLD_ARCHIVE_NOT_INCLUDED	NO	prohibited failed archive not included
