release	source_freeze_path	gate_input_path	source_sha256	gate_input_sha256	byte_identity
GWTC-4	SOURCES/GWTC4/H0_dark_combined.json	INPUTS/GWTC4/H0_dark_combined.json	b4b5e271d94f0ac828c840a46d72bd5e9433d706a47f352abfcdd3fbc2014fc8	b4b5e271d94f0ac828c840a46d72bd5e9433d706a47f352abfcdd3fbc2014fc8	PASS
GWTC-5	SOURCES/GWTC5/H0_dark_combined_gw170817.json	INPUTS/GWTC5/H0_dark_combined_gw170817.json	00aaee9573ae940ac156c1b4af441e075a462a4c54152ac20d03511b877ce0d5	00aaee9573ae940ac156c1b4af441e075a462a4c54152ac20d03511b877ce0d5	PASS
