ITEM_ID	EXPECTED_RAW	OBSERVED_RAW	COMPARISON_RULE	ABS_DIFFERENCE_OR_NOTE	EXPECTED_DISPLAY	OBSERVED_DISPLAY	STATUS	SOURCE_PATH
N029	1.4210854715202006e-13	1.4210854715202004e-13	ABS<=1e-12	2.524354896707238e-29	1.42e-13	1.42e-13	PASS	HTS66_RESULTS_FOR_REVIEW/HTS66_CLASSIFICATION.tsv:max_conditional4d_distance_squared_cross_stage_error
N030	1.6653345369377348e-15	1.6653345369377348e-15	ABS<=1e-12	0.0	1.67e-15	1.67e-15	PASS	HTS66_RESULTS_FOR_REVIEW/HTS66_CLASSIFICATION.tsv:max_fixed_block_cross_stage_error
N031	14/14	14/14	EXACT		14/14	14/14	PASS	HTS64_RESULTS_FOR_REVIEW/HTS64_REPARAMETERIZATION_SUMMARY.tsv:primary burn rows
N032	0.46543736233108057	0.4654373623310806	ABS<=1e-8	0.0	0.4654	0.4654	PASS	HTS64_RESULTS_FOR_REVIEW/HTS64_REPARAMETERIZATION_SUMMARY.tsv:rotation_grid_top_share_range at burn=0.3
N033	0.29004352344255208	0.2900435234426087	ABS<=1e-8	5.6621374255882984e-14	0.2900	0.2900	PASS	HTS67_RESULTS_FOR_REVIEW/HTS67_SYMMETRIC_POOLING_SENSITIVITY.tsv:max abs baryon_tilt_share_difference
N034	0.3801433811740309	0.38014338117407437	ABS<=1e-8	4.346523141407488e-14	0.3801	0.3801	PASS	HTS67_RESULTS_FOR_REVIEW/HTS67_SYMMETRIC_POOLING_SENSITIVITY.tsv:max abs order_sensitivity_difference
N035	4/7	4/7	EXACT		4/7	4/7	PASS	HTS67_RESULTS_FOR_REVIEW/HTS67_SYMMETRIC_POOLING_SENSITIVITY.tsv:burn=0.3 classification_stable
HTS66_CLASSIFICATION	PASS_ATTRIBUTION_INVARIANT_CORE_SYNTHESIS_AND_BRANCH_CLOSEOUT	PASS_ATTRIBUTION_INVARIANT_CORE_SYNTHESIS_AND_BRANCH_CLOSEOUT	EXACT		PASS_ATTRIBUTION_INVARIANT_CORE_SYNTHESIS_AND_BRANCH_CLOSEOUT	PASS_ATTRIBUTION_INVARIANT_CORE_SYNTHESIS_AND_BRANCH_CLOSEOUT	PASS	HTS66_RESULTS_FOR_REVIEW/HTS66_CLASSIFICATION.tsv:classification
HTS67_CLASSIFICATION	HOLD_SYMMETRIC_POOLING_CONVENTION_SENSITIVITY	HOLD_SYMMETRIC_POOLING_CONVENTION_SENSITIVITY	EXACT		HOLD_SYMMETRIC_POOLING_CONVENTION_SENSITIVITY	HOLD_SYMMETRIC_POOLING_CONVENTION_SENSITIVITY	PASS	HTS67_RESULTS_FOR_REVIEW/HTS67_CLASSIFICATION.tsv:classification
