STAGE	FILE	REFERENCE_KIND	STATUS	MAX_ABS_NUMERIC_DIFFERENCE	TEXT_DIFFERENCE_COUNT
HTS64	HTS64_CLASSIFICATION.tsv	VERIFIED_PORTABLE_REPLICA_OF_HISTORICAL_INTERMEDIATE	PASS	0.0	0
HTS64	HTS64_REPARAMETERIZATION_SUMMARY.tsv	VERIFIED_PORTABLE_REPLICA_OF_HISTORICAL_INTERMEDIATE	PASS	0.0	0
HTS64	HTS64_ROTATED_COORDINATE_ALLOCATIONS.tsv	VERIFIED_PORTABLE_REPLICA_OF_HISTORICAL_INTERMEDIATE	PASS	0.0	0
HTS64	HTS64_ROTATION_GRID.tsv	VERIFIED_PORTABLE_REPLICA_OF_HISTORICAL_INTERMEDIATE	PASS	0.0	0
HTS64	HTS64_DIRECTED_LOO_STABILITY.tsv	VERIFIED_PORTABLE_REPLICA_OF_HISTORICAL_INTERMEDIATE	PASS	0.0	0
HTS64	HTS64_BURNIN_SENSITIVITY.tsv	VERIFIED_PORTABLE_REPLICA_OF_HISTORICAL_INTERMEDIATE	PASS	0.0	0
HTS64	HTS64_CHAIN_SUPPORT.tsv	VERIFIED_PORTABLE_REPLICA_OF_HISTORICAL_INTERMEDIATE	PASS	0.0	0
HTS65	HTS65_CLASSIFICATION.tsv	VERIFIED_PORTABLE_REPLICA_OF_HISTORICAL_INTERMEDIATE	PASS	0.0	0
HTS65	HTS65_PARTITION_CATALOG.tsv	VERIFIED_PORTABLE_REPLICA_OF_HISTORICAL_INTERMEDIATE	PASS	0.0	0
HTS65	HTS65_DIRECTED_PARTITION_RESULTS.tsv	VERIFIED_PORTABLE_REPLICA_OF_HISTORICAL_INTERMEDIATE	PASS	0.0	0
HTS65	HTS65_DIRECTED_PARTITION_SUMMARY.tsv	VERIFIED_PORTABLE_REPLICA_OF_HISTORICAL_INTERMEDIATE	PASS	0.0	0
HTS65	HTS65_DIRECTED_PARTITION_BLOCK_ALLOCATIONS.tsv	VERIFIED_PORTABLE_REPLICA_OF_HISTORICAL_INTERMEDIATE	PASS	0.0	0
HTS65	HTS65_DIRECTED_PARTITION_VARIABLE_ALLOCATIONS.tsv	VERIFIED_PORTABLE_REPLICA_OF_HISTORICAL_INTERMEDIATE	PASS	0.0	0
HTS65	HTS65_DIRECTED_LOO_STABILITY.tsv	VERIFIED_PORTABLE_REPLICA_OF_HISTORICAL_INTERMEDIATE	PASS	0.0	0
HTS65	HTS65_BURNIN_SENSITIVITY.tsv	VERIFIED_PORTABLE_REPLICA_OF_HISTORICAL_INTERMEDIATE	PASS	0.0	0
HTS65	HTS65_CHAIN_SUPPORT.tsv	VERIFIED_PORTABLE_REPLICA_OF_HISTORICAL_INTERMEDIATE	PASS	0.0	0
HTS66	HTS66_CLASSIFICATION.tsv	VERIFIED_PORTABLE_REPLICA_OF_HISTORICAL_INTERMEDIATE	PASS	0.0	0
HTS66	HTS66_CONDITIONAL_DISTANCE_CONSISTENCY.tsv	VERIFIED_PORTABLE_REPLICA_OF_HISTORICAL_INTERMEDIATE	PASS	0.0	0
HTS66	HTS66_CROSS_STAGE_KEY_AUDIT.tsv	VERIFIED_PORTABLE_REPLICA_OF_HISTORICAL_INTERMEDIATE	PASS	0.0	0
HTS66	HTS66_FIXED_BLOCK_CONSISTENCY.tsv	VERIFIED_PORTABLE_REPLICA_OF_HISTORICAL_INTERMEDIATE	PASS	0.0	0
HTS66	HTS66_INVARIANT_HIERARCHY.tsv	VERIFIED_PORTABLE_REPLICA_OF_HISTORICAL_INTERMEDIATE	PASS	0.0	0
HTS66	HTS66_PRIMARY_SYNTHESIS.tsv	VERIFIED_PORTABLE_REPLICA_OF_HISTORICAL_INTERMEDIATE	PASS	0.0	0
HTS67	HTS67_CLASSIFICATION.tsv	HISTORICAL_SUBSTANTIVE_REFERENCE	PASS	0.0	0
HTS67	HTS67_BURNIN_SENSITIVITY.tsv	HISTORICAL_SUBSTANTIVE_REFERENCE	PASS	0.0	0
HTS67	HTS67_DIRECTED_BASELINE_COMPARISON.tsv	HISTORICAL_SUBSTANTIVE_REFERENCE	PASS	0.0	0
HTS67	HTS67_ENDPOINT_6D_SUMMARY.tsv	HISTORICAL_SUBSTANTIVE_REFERENCE	PASS	0.0	0
HTS67	HTS67_INDEPENDENT_AUDIT_CHECKS.tsv	HISTORICAL_SUBSTANTIVE_REFERENCE	PASS	0.0	0
HTS67	HTS67_LOO_STABILITY.tsv	HISTORICAL_SUBSTANTIVE_REFERENCE	PASS	0.0	0
HTS67	HTS67_SYMMETRIC_METRIC_RESULTS.tsv	HISTORICAL_SUBSTANTIVE_REFERENCE	PASS	0.0	0
HTS67	HTS67_SYMMETRIC_POOLING_SENSITIVITY.tsv	HISTORICAL_SUBSTANTIVE_REFERENCE	PASS	0.0	0
