h0dn_row_1based	name	h0dn_m_b	h0dn_err_m_b	h0dn_zhel	h0dn_zcmb	catalog_only_classification	catalog_candidate_count	catalog_candidate_official_rows_1based	covariance_diagonal_used_for_mapping	final_dependency_classification	candidate_count	candidate_official_rows_1based	match_status	official_row_1based	official_CID	IDSURVEY	survey_label	official_m_b_corr	official_m_b_corr_err_DIAG	official_STAT_SYS_diagonal_sqrt	official_zHEL	official_zCMB	delta_m_b	delta_err_m_b	delta_err_m_b_role	delta_zhel	delta_zcmb
57	2010ii	15.878	0.13466	0.028139999999999998	0.027040000000000002	CATALOG_ONLY_UNIQUE	1	428	NO	CATALOG_ONLY_UNIQUE	1	428	UNIQUE_MATCH	428	2010ii	51	LOSS1	15.877599999999999	0.18278700000000001	0.13466328378589318	0.028139999999999998	0.027040000000000002	0.00040000000000084412	3.2837858931766828e-06	POST_MAPPING_DIAGNOSTIC	0	0
58	PSNJ0252467	16.108000000000001	0.13621	0.02809	0.027480000000000001	CATALOG_ONLY_UNIQUE	1	430	NO	CATALOG_ONLY_UNIQUE	1	430	UNIQUE_MATCH	430	PSNJ0252467	150	FOUND	16.1083	0.18870600000000001	0.13621163680097234	0.02809	0.027480000000000001	0.00029999999999930083	1.6368009723433108e-06	POST_MAPPING_DIAGNOSTIC	0	0
59	2009aa	16.064	0.12484000000000001	0.027050000000000001	0.02827	CATALOG_ONLY_UNIQUE	1	431	NO	CATALOG_ONLY_UNIQUE	1	431	UNIQUE_MATCH	431	2009aa	5	CSP	16.064399999999999	0.17130100000000001	0.12483833545830383	0.027050000000000001	0.02827	0.00039999999999906777	1.6645416961724724e-06	POST_MAPPING_DIAGNOSTIC	0	0
60	2011hb	16.033999999999999	0.20984	0.029010000000000001	0.02775	CATALOG_ONLY_UNIQUE	1	432	NO	CATALOG_ONLY_UNIQUE	1	432	UNIQUE_MATCH	432	2011hb	56	SOUSA	16.034400000000002	0.29168699999999997	0.20984441855813082	0.029010000000000001	0.02775	0.00040000000000262048	4.4185581308253674e-06	POST_MAPPING_DIAGNOSTIC	0	0
61	2005eq	16.253	0.11466	0.028930000000000001	0.028309999999999998	CATALOG_ONLY_UNIQUE	1	433	NO	CATALOG_ONLY_UNIQUE	1	433	UNIQUE_MATCH	433	2005eq	57	LOSS2	16.2531	0.16084200000000001	0.1146577079833711	0.028930000000000001	0.028309999999999998	9.9999999999766942e-05	2.2920166288936672e-06	POST_MAPPING_DIAGNOSTIC	0	0
62	2005eq	16.303000000000001	0.11351	0.028930000000000001	0.028309999999999998	CATALOG_ONLY_UNIQUE	1	434	NO	CATALOG_ONLY_UNIQUE	1	434	UNIQUE_MATCH	434	2005eq	5	CSP	16.3033	0.15792600000000001	0.11351044004848188	0.028930000000000001	0.028309999999999998	0.00029999999999930083	4.4004848187562118e-07	POST_MAPPING_DIAGNOSTIC	0	0
63	2005eq	16.305	0.11312999999999999	0.028930000000000001	0.028309999999999998	CATALOG_ONLY_UNIQUE	1	435	NO	CATALOG_ONLY_UNIQUE	1	435	UNIQUE_MATCH	435	2005eq	64	CFA3K	16.305	0.15870500000000001	0.11313474267438806	0.028930000000000001	0.028309999999999998	0	4.7426743880613076e-06	POST_MAPPING_DIAGNOSTIC	0	0
64	2009ad	16.119	0.11318	0.028400000000000002	0.028340000000000001	CATALOG_ONLY_UNIQUE	1	437	NO	CATALOG_ONLY_UNIQUE	1	437	UNIQUE_MATCH	437	2009ad	65	CFA4p2	16.119	0.15801100000000001	0.11317901748999237	0.028400000000000002	0.028340000000000001	0	9.8251000762994423e-07	POST_MAPPING_DIAGNOSTIC	0	0
65	2009ad	16.088999999999999	0.11487	0.028400000000000002	0.028340000000000001	CATALOG_ONLY_UNIQUE	1	438	NO	CATALOG_ONLY_UNIQUE	1	438	UNIQUE_MATCH	438	2009ad	5	CSP	16.089099999999998	0.15418000000000001	0.11486992643855919	0.028400000000000002	0.028340000000000001	9.9999999999766942e-05	7.3561440813718626e-08	POST_MAPPING_DIAGNOSTIC	0	0
66	2008ar	16.184000000000001	0.13113	0.026169999999999999	0.027320000000000001	CATALOG_ONLY_UNIQUE	1	440	NO	CATALOG_ONLY_UNIQUE	1	440	UNIQUE_MATCH	440	2008ar	57	LOSS2	16.183800000000002	0.178289	0.13112722829374532	0.026169999999999999	0.027320000000000001	0.00019999999999953388	2.7717062546783744e-06	POST_MAPPING_DIAGNOSTIC	0	0
67	2008ar	16.038	0.13047	0.026169999999999999	0.027320000000000001	CATALOG_ONLY_UNIQUE	1	441	NO	CATALOG_ONLY_UNIQUE	1	441	UNIQUE_MATCH	441	2008ar	5	CSP	16.0383	0.17618600000000001	0.13047195100863632	0.026169999999999999	0.027320000000000001	0.00029999999999930083	1.9510086363139223e-06	POST_MAPPING_DIAGNOSTIC	0	0
68	2008ar	16.106000000000002	0.13083	0.026169999999999999	0.027320000000000001	CATALOG_ONLY_UNIQUE	1	442	NO	CATALOG_ONLY_UNIQUE	1	442	UNIQUE_MATCH	442	2008ar	65	CFA4p2	16.106000000000002	0.17820900000000001	0.13083386411781928	0.026169999999999999	0.027320000000000001	0	3.8641178192744263e-06	POST_MAPPING_DIAGNOSTIC	0	0
69	2007is	16.091999999999999	0.16295000000000001	0.029530000000000001	0.029530000000000001	CATALOG_ONLY_UNIQUE	1	446	NO	CATALOG_ONLY_UNIQUE	1	446	UNIQUE_MATCH	446	2007is	65	CFA4p2	16.091899999999999	0.209647	0.16295425738531658	0.029530000000000001	0.029530000000000001	9.9999999999766942e-05	4.2573853165639441e-06	POST_MAPPING_DIAGNOSTIC	0	0
70	1998ab	15.696	0.16438	0.027310000000000001	0.028060000000000002	CATALOG_ONLY_UNIQUE	1	448	NO	CATALOG_ONLY_UNIQUE	1	448	UNIQUE_MATCH	448	1998ab	62	CFA2	15.6957	0.22614300000000001	0.16438491414968709	0.027310000000000001	0.028060000000000002	0.00029999999999930083	4.9141496870908075e-06	POST_MAPPING_DIAGNOSTIC	0	0
71	ASASSN-15la	15.803000000000001	0.15651000000000001	0.027820000000000001	0.02845	CATALOG_ONLY_UNIQUE	1	451	NO	CATALOG_ONLY_UNIQUE	1	451	UNIQUE_MATCH	451	ASASSN-15la	150	FOUND	15.8028	0.21698999999999999	0.15650734807030628	0.027820000000000001	0.02845	0.00020000000000131024	2.6519296937310699e-06	POST_MAPPING_DIAGNOSTIC	0	0
72	1996C	16.262	0.17813000000000001	0.028230000000000002	0.028750000000000001	CATALOG_ONLY_UNIQUE	1	452	NO	CATALOG_ONLY_UNIQUE	1	452	UNIQUE_MATCH	452	1996C	61	CFA1	16.2622	0.249362	0.17813245072136633	0.028230000000000002	0.028750000000000001	0.00019999999999953388	2.4507213663149674e-06	POST_MAPPING_DIAGNOSTIC	0	0
73	PS16cvc	16.442	0.12934999999999999	0.02954	0.02844	CATALOG_ONLY_UNIQUE	1	453	NO	CATALOG_ONLY_UNIQUE	1	453	UNIQUE_MATCH	453	PS16cvc	150	FOUND	16.441800000000001	0.18134600000000001	0.12935250287489608	0.02954	0.02844	0.00019999999999953388	2.5028748960875813e-06	POST_MAPPING_DIAGNOSTIC	0	0
74	ASASSN-15fs	15.986000000000001	0.13255	0.029020000000000001	0.028500000000000001	CATALOG_ONLY_UNIQUE	1	454	NO	CATALOG_ONLY_UNIQUE	1	454	UNIQUE_MATCH	454	ASASSN-15fs	150	FOUND	15.9861	0.18385099999999999	0.13255315914756616	0.029020000000000001	0.028500000000000001	9.9999999999766942e-05	3.1591475661563173e-06	POST_MAPPING_DIAGNOSTIC	0	0
75	PSNJ0859349	16.219000000000001	0.16303999999999999	0.028119999999999999	0.028740000000000002	CATALOG_ONLY_UNIQUE	1	457	NO	CATALOG_ONLY_UNIQUE	1	457	UNIQUE_MATCH	457	PSNJ0859349	150	FOUND	16.219000000000001	0.224134	0.16303892173343149	0.028119999999999999	0.028740000000000002	0	1.0782665685049597e-06	POST_MAPPING_DIAGNOSTIC	0	0
76	LSQ12gdj	15.840999999999999	0.19767000000000001	0.029909999999999999	0.02886	CATALOG_ONLY_UNIQUE	1	459	NO	CATALOG_ONLY_UNIQUE	1	459	UNIQUE_MATCH	459	LSQ12gdj	56	SOUSA	15.8409	0.27135399999999998	0.19767167222442369	0.029909999999999999	0.02886	9.9999999999766942e-05	1.6722244236822004e-06	POST_MAPPING_DIAGNOSTIC	0	0
77	2000cw	16.355	0.15937999999999999	0.030130000000000001	0.02896	CATALOG_ONLY_UNIQUE	1	460	NO	CATALOG_ONLY_UNIQUE	1	460	UNIQUE_MATCH	460	2000cw	57	LOSS2	16.354900000000001	0.22260199999999999	0.15938108419759228	0.030130000000000001	0.02896	9.9999999999766942e-05	1.0841975922881719e-06	POST_MAPPING_DIAGNOSTIC	0	0
78	2002de	16.111000000000001	0.20557	0.030339999999999999	0.030499999999999999	CATALOG_ONLY_UNIQUE	1	461	NO	CATALOG_ONLY_UNIQUE	1	461	UNIQUE_MATCH	461	2002de	57	LOSS2	16.110800000000001	0.28245500000000001	0.20557492551378925	0.030339999999999999	0.030499999999999999	0.00019999999999953388	4.9255137892501022e-06	POST_MAPPING_DIAGNOSTIC	0	0
79	ASASSN-16hh	16.248000000000001	0.13661000000000001	0.030259999999999999	0.029350000000000001	CATALOG_ONLY_UNIQUE	1	465	NO	CATALOG_ONLY_UNIQUE	1	465	UNIQUE_MATCH	465	ASASSN-16hh	18	CNIa0.02	16.2485	0.188445	0.1366140549138338	0.030259999999999999	0.029350000000000001	0.00049999999999883471	4.0549138337897528e-06	POST_MAPPING_DIAGNOSTIC	0	0
80	Gaia16bba	16.181999999999999	0.13059999999999999	0.030460000000000001	0.029340000000000001	CATALOG_ONLY_UNIQUE	1	467	NO	CATALOG_ONLY_UNIQUE	1	467	UNIQUE_MATCH	467	Gaia16bba	150	FOUND	16.182400000000001	0.18335799999999999	0.13060007656965597	0.030460000000000001	0.029340000000000001	0.00040000000000262048	7.6569655976799211e-08	POST_MAPPING_DIAGNOSTIC	0	0
81	2004ef	16.266999999999999	0.14021	0.031009999999999999	0.029780000000000001	CATALOG_ONLY_UNIQUE	1	469	NO	CATALOG_ONLY_UNIQUE	1	469	UNIQUE_MATCH	469	2004ef	57	LOSS2	16.266500000000001	0.19422	0.14020695417845722	0.031009999999999999	0.029780000000000001	0.00049999999999883471	3.0458215427853208e-06	POST_MAPPING_DIAGNOSTIC	0	0
82	2004ef	16.231000000000002	0.14419000000000001	0.031009999999999999	0.029780000000000001	CATALOG_ONLY_UNIQUE	1	470	NO	CATALOG_ONLY_UNIQUE	1	470	UNIQUE_MATCH	470	2004ef	5	CSP	16.230799999999999	0.197459	0.14419410528866983	0.031009999999999999	0.029780000000000001	0.0002000000000030866	4.1052886698145219e-06	POST_MAPPING_DIAGNOSTIC	0	0
83	2004ef	16.222999999999999	0.16769999999999999	0.031009999999999999	0.029780000000000001	CATALOG_ONLY_UNIQUE	1	471	NO	CATALOG_ONLY_UNIQUE	1	471	UNIQUE_MATCH	471	2004ef	64	CFA3K	16.223099999999999	0.23192199999999999	0.16770107334182449	0.031009999999999999	0.029780000000000001	9.9999999999766942e-05	1.0733418245034709e-06	POST_MAPPING_DIAGNOSTIC	0	0
84	AT2017lm	16.300999999999998	0.15422	0.030640000000000001	0.030020000000000002	CATALOG_ONLY_UNIQUE	1	473	NO	CATALOG_ONLY_UNIQUE	1	473	UNIQUE_MATCH	473	AT2017lm	150	FOUND	16.301200000000001	0.21458099999999999	0.15422182076476726	0.030640000000000001	0.030020000000000002	0.0002000000000030866	1.8207647672630056e-06	POST_MAPPING_DIAGNOSTIC	0	0
85	ASASSN-16hr	16.212	0.20383999999999999	0.030859999999999999	0.0298	CATALOG_ONLY_UNIQUE	1	479	NO	CATALOG_ONLY_UNIQUE	1	479	UNIQUE_MATCH	479	ASASSN-16hr	150	FOUND	16.2118	0.27743600000000002	0.20384128629892426	0.030859999999999999	0.0298	0.00019999999999953388	1.2862989242634626e-06	POST_MAPPING_DIAGNOSTIC	0	0
86	1990O	16.239999999999998	0.11799	0.03099	0.030929999999999999	CATALOG_ONLY_UNIQUE	1	481	NO	CATALOG_ONLY_UNIQUE	1	481	UNIQUE_MATCH	481	1990O	50	LOWZ/JRK07	16.239599999999999	0.164272	0.11798584660881999	0.03099	0.030929999999999999	0.00039999999999906777	4.1533911800117895e-06	POST_MAPPING_DIAGNOSTIC	0	0
87	2008gg	16.417000000000002	0.16774	0.032030000000000003	0.03107	CATALOG_ONLY_UNIQUE	1	487	NO	CATALOG_ONLY_UNIQUE	1	487	UNIQUE_MATCH	487	2008gg	51	LOSS1	16.417000000000002	0.235291	0.16773991772979979	0.032030000000000003	0.03107	0	8.2270200207901212e-08	POST_MAPPING_DIAGNOSTIC	0	0
88	2008gg	16.288	0.13192999999999999	0.032030000000000003	0.03107	CATALOG_ONLY_UNIQUE	1	488	NO	CATALOG_ONLY_UNIQUE	1	488	UNIQUE_MATCH	488	2008gg	5	CSP	16.2879	0.18291399999999999	0.13192664628497155	0.032030000000000003	0.03107	9.9999999999766942e-05	3.3537150284368433e-06	POST_MAPPING_DIAGNOSTIC	0	0
89	1999cc	16.335000000000001	0.12870000000000001	0.031109999999999999	0.031320000000000001	CATALOG_ONLY_UNIQUE	1	489	NO	CATALOG_ONLY_UNIQUE	1	489	UNIQUE_MATCH	489	1999cc	62	CFA2	16.334700000000002	0.16692399999999999	0.12870112664619529	0.031109999999999999	0.031320000000000001	0.00029999999999930083	1.1266461952819107e-06	POST_MAPPING_DIAGNOSTIC	0	0
90	2007bd	16.242999999999999	0.12418	0.030439999999999998	0.03141	CATALOG_ONLY_UNIQUE	1	492	NO	CATALOG_ONLY_UNIQUE	1	492	UNIQUE_MATCH	492	2007bd	51	LOSS1	16.242699999999999	0.17387	0.12417656783789767	0.030439999999999998	0.03141	0.00029999999999930083	3.432162102329217e-06	POST_MAPPING_DIAGNOSTIC	0	0
91	2007bd	16.326000000000001	0.10657	0.030439999999999998	0.03141	CATALOG_ONLY_UNIQUE	1	493	NO	CATALOG_ONLY_UNIQUE	1	493	UNIQUE_MATCH	493	2007bd	5	CSP	16.3263	0.146208	0.10656791261913691	0.030439999999999998	0.03141	0.00029999999999930083	2.0873808630889057e-06	POST_MAPPING_DIAGNOSTIC	0	0
92	2007bd	16.231000000000002	0.10851	0.030439999999999998	0.03141	CATALOG_ONLY_UNIQUE	1	494	NO	CATALOG_ONLY_UNIQUE	1	494	UNIQUE_MATCH	494	2007bd	64	CFA3K	16.231100000000001	0.15141399999999999	0.10851230344988534	0.030439999999999998	0.03141	9.9999999999766942e-05	2.3034498853463647e-06	POST_MAPPING_DIAGNOSTIC	0	0
93	ASASSN-15hg	16.393000000000001	0.14086000000000001	0.029919999999999999	0.03107	CATALOG_ONLY_UNIQUE	1	499	NO	CATALOG_ONLY_UNIQUE	1	499	UNIQUE_MATCH	499	ASASSN-15hg	150	FOUND	16.3931	0.19434699999999999	0.14086003691608207	0.029919999999999999	0.03107	9.9999999999766942e-05	3.6916082052362853e-08	POST_MAPPING_DIAGNOSTIC	0	0
94	ATLAS17axb	16.306999999999999	0.13361999999999999	0.031649999999999998	0.032640000000000002	CATALOG_ONLY_UNIQUE	1	500	NO	CATALOG_ONLY_UNIQUE	1	500	UNIQUE_MATCH	500	ATLAS17axb	150	FOUND	16.307200000000002	0.183588	0.13361837448494873	0.031649999999999998	0.032640000000000002	0.0002000000000030866	1.6255150512567429e-06	POST_MAPPING_DIAGNOSTIC	0	0
95	CSS160428	16.449000000000002	0.15608	0.030290000000000001	0.030810000000000001	CATALOG_ONLY_UNIQUE	1	502	NO	CATALOG_ONLY_UNIQUE	1	502	UNIQUE_MATCH	502	CSS160428	150	FOUND	16.448699999999999	0.162055	0.15607693615649942	0.030290000000000001	0.030810000000000001	0.00030000000000285354	3.0638435005725384e-06	POST_MAPPING_DIAGNOSTIC	0	0
96	2000dn	16.454000000000001	0.11703	0.032070000000000001	0.030810000000000001	CATALOG_ONLY_UNIQUE	1	503	NO	CATALOG_ONLY_UNIQUE	1	503	UNIQUE_MATCH	503	2000dn	57	LOSS2	16.454000000000001	0.218912	0.11702721905608114	0.032070000000000001	0.030810000000000001	0	2.78094391885364e-06	POST_MAPPING_DIAGNOSTIC	0	0
97	2006en	16.393999999999998	0.13877	0.031980000000000001	0.030810000000000001	CATALOG_ONLY_UNIQUE	1	504	NO	CATALOG_ONLY_UNIQUE	1	504	UNIQUE_MATCH	504	2006en	57	LOSS2	16.394400000000001	0.192354	0.13877261977782215	0.031980000000000001	0.030810000000000001	0.00040000000000262048	2.6197778221492829e-06	POST_MAPPING_DIAGNOSTIC	0	0
98	2006en	16.431999999999999	0.13427	0.031980000000000001	0.030810000000000001	CATALOG_ONLY_UNIQUE	1	505	NO	CATALOG_ONLY_UNIQUE	1	505	UNIQUE_MATCH	505	2006en	64	CFA3K	16.431699999999999	0.18612799999999999	0.13426987748560731	0.031980000000000001	0.030810000000000001	0.00029999999999930083	1.2251439268640141e-07	POST_MAPPING_DIAGNOSTIC	0	0
99	2008bq	16.475000000000001	0.13084000000000001	0.032320000000000002	0.03279	CATALOG_ONLY_UNIQUE	1	506	NO	CATALOG_ONLY_UNIQUE	1	506	UNIQUE_MATCH	506	2008bq	5	CSP	16.474900000000002	0.17599100000000001	0.13084219502897373	0.032320000000000002	0.03279	9.9999999999766942e-05	2.1950289737227013e-06	POST_MAPPING_DIAGNOSTIC	0	0
100	ASASSN-16oz	16.206	0.19524	0.031	0.032070000000000001	CATALOG_ONLY_UNIQUE	1	507	NO	CATALOG_ONLY_UNIQUE	1	507	UNIQUE_MATCH	507	ASASSN-16oz	150	FOUND	16.206199999999999	0.27474100000000001	0.19523695859134868	0.031	0.032070000000000001	0.00019999999999953388	3.0414086513164129e-06	POST_MAPPING_DIAGNOSTIC	0	0
101	2006az	16.236999999999998	0.10523	0.031029999999999999	0.031579999999999997	CATALOG_ONLY_UNIQUE	1	508	NO	CATALOG_ONLY_UNIQUE	1	508	UNIQUE_MATCH	508	2006az	64	CFA3K	16.236599999999999	0.146203	0.10522898840148565	0.031029999999999999	0.031579999999999997	0.00039999999999906777	1.0115985143582806e-06	POST_MAPPING_DIAGNOSTIC	0	0
102	010026	16.422000000000001	0.14451	0.031230000000000001	0.031739999999999997	CATALOG_ONLY_UNIQUE	1	509	NO	CATALOG_ONLY_UNIQUE	1	509	UNIQUE_MATCH	509	010026	15	PS1MD	16.421600000000002	0.200299	0.14450570922977402	0.031230000000000001	0.031739999999999997	0.00039999999999906777	4.2907702259842306e-06	POST_MAPPING_DIAGNOSTIC	0	0
103	AT2017po	16.323	0.1389	0.031829999999999997	0.032009999999999997	CATALOG_ONLY_UNIQUE	1	510	NO	CATALOG_ONLY_UNIQUE	1	510	UNIQUE_MATCH	510	AT2017po	150	FOUND	16.323	0.19495299999999999	0.13889740818316229	0.031829999999999997	0.032009999999999997	0	2.591816837704819e-06	POST_MAPPING_DIAGNOSTIC	0	0
104	2007ux	16.628	0.13586999999999999	0.030700000000000002	0.031829999999999997	CATALOG_ONLY_UNIQUE	1	513	NO	CATALOG_ONLY_UNIQUE	1	513	UNIQUE_MATCH	513	2007ux	5	CSP	16.627800000000001	0.188113	0.13586883380672699	0.030700000000000002	0.031829999999999997	0.00019999999999953388	1.1661932730056002e-06	POST_MAPPING_DIAGNOSTIC	0	0
105	ASASSN-15pr	16.655000000000001	0.14022000000000001	0.033090000000000001	0.031890000000000002	CATALOG_ONLY_UNIQUE	1	515	NO	CATALOG_ONLY_UNIQUE	1	515	UNIQUE_MATCH	515	ASASSN-15pr	150	FOUND	16.655200000000001	0.19631999999999999	0.14022339319813937	0.033090000000000001	0.031890000000000002	0.00019999999999953388	3.393198139356457e-06	POST_MAPPING_DIAGNOSTIC	0	0
106	SN2016hpx	16.379999999999999	0.14602999999999999	0.03338	0.033700000000000001	CATALOG_ONLY_UNIQUE	1	519	NO	CATALOG_ONLY_UNIQUE	1	519	UNIQUE_MATCH	519	SN2016hpx	150	FOUND	16.379899999999999	0.202232	0.14603300996692495	0.03338	0.033700000000000001	9.9999999999766942e-05	3.009966924955032e-06	POST_MAPPING_DIAGNOSTIC	0	0
107	SN2017cii	16.585000000000001	0.13003999999999999	0.033230000000000003	0.033369999999999997	CATALOG_ONLY_UNIQUE	1	520	NO	CATALOG_ONLY_UNIQUE	1	520	UNIQUE_MATCH	520	SN2017cii	150	FOUND	16.585100000000001	0.17660699999999999	0.13003776374576734	0.033230000000000003	0.033369999999999997	9.9999999999766942e-05	2.2362542326515022e-06	POST_MAPPING_DIAGNOSTIC	0	0
108	2006te	16.472000000000001	0.10815	0.031550000000000002	0.032120000000000003	CATALOG_ONLY_UNIQUE	1	521	NO	CATALOG_ONLY_UNIQUE	1	521	UNIQUE_MATCH	521	2006te	64	CFA3K	16.471800000000002	0.15115700000000001	0.10815308594765108	0.031550000000000002	0.032120000000000003	0.00019999999999953388	3.085947651082499e-06	POST_MAPPING_DIAGNOSTIC	0	0
109	2004as	16.478999999999999	0.15881999999999999	0.031390000000000001	0.032500000000000001	CATALOG_ONLY_UNIQUE	1	523	NO	CATALOG_ONLY_UNIQUE	1	523	UNIQUE_MATCH	523	2004as	57	LOSS2	16.479399999999998	0.218528	0.15882266840725223	0.031390000000000001	0.032500000000000001	0.00039999999999906777	2.6684072522431546e-06	POST_MAPPING_DIAGNOSTIC	0	0
110	2004as	16.638000000000002	0.16206999999999999	0.031390000000000001	0.032500000000000001	CATALOG_ONLY_UNIQUE	1	524	NO	CATALOG_ONLY_UNIQUE	1	524	UNIQUE_MATCH	524	2004as	63	CFA3S	16.637699999999999	0.22412000000000001	0.16207057104854047	0.031390000000000001	0.032500000000000001	0.00030000000000285354	5.7104854048195541e-07	POST_MAPPING_DIAGNOSTIC	0	0
111	2008gp	16.474	0.11348	0.033029999999999997	0.03245	CATALOG_ONLY_UNIQUE	1	527	NO	CATALOG_ONLY_UNIQUE	1	527	UNIQUE_MATCH	527	2008gp	51	LOSS1	16.473800000000001	0.16037599999999999	0.11348295026126172	0.033029999999999997	0.03245	0.00019999999999953388	2.9502612617221535e-06	POST_MAPPING_DIAGNOSTIC	0	0
112	2010ag	16.562999999999999	0.14382	0.033399999999999999	0.033360000000000001	CATALOG_ONLY_UNIQUE	1	528	NO	CATALOG_ONLY_UNIQUE	1	528	UNIQUE_MATCH	528	2010ag	66	CFA4p3	16.562899999999999	0.19711999999999999	0.14382374630081082	0.033399999999999999	0.033360000000000001	9.9999999999766942e-05	3.7463008108196139e-06	POST_MAPPING_DIAGNOSTIC	0	0
113	2005iq	16.611999999999998	0.104	0.034040000000000001	0.032919999999999998	CATALOG_ONLY_UNIQUE	1	529	NO	CATALOG_ONLY_UNIQUE	1	529	UNIQUE_MATCH	529	2005iq	64	CFA3K	16.611699999999999	0.14855299999999999	0.10399692303140512	0.034040000000000001	0.032919999999999998	0.00029999999999930083	3.0769685948756065e-06	POST_MAPPING_DIAGNOSTIC	0	0
114	2005iq	16.599	0.10705000000000001	0.034040000000000001	0.032919999999999998	CATALOG_ONLY_UNIQUE	1	530	NO	CATALOG_ONLY_UNIQUE	1	530	UNIQUE_MATCH	530	2005iq	5	CSP	16.598600000000001	0.14105799999999999	0.10704643852085879	0.034040000000000001	0.032919999999999998	0.00039999999999906777	3.5614791412119651e-06	POST_MAPPING_DIAGNOSTIC	0	0
115	PS15bsq	16.527000000000001	0.11345	0.034299999999999997	0.033090000000000001	CATALOG_ONLY_UNIQUE	1	531	NO	CATALOG_ONLY_UNIQUE	1	531	UNIQUE_MATCH	531	PS15bsq	150	FOUND	16.526700000000002	0.15740000000000001	0.1134545724067567	0.034299999999999997	0.033090000000000001	0.00029999999999930083	4.5724067567060045e-06	POST_MAPPING_DIAGNOSTIC	0	0
116	2004L	16.576000000000001	0.20507	0.032289999999999999	0.033439999999999998	CATALOG_ONLY_UNIQUE	1	532	NO	CATALOG_ONLY_UNIQUE	1	532	UNIQUE_MATCH	532	2004L	63	CFA3S	16.576000000000001	0.27233800000000002	0.20507352340075496	0.032289999999999999	0.033439999999999998	0	3.5234007549622692e-06	POST_MAPPING_DIAGNOSTIC	0	0
117	2003gn	16.77	0.17466000000000001	0.034380000000000001	0.033160000000000002	CATALOG_ONLY_UNIQUE	1	533	NO	CATALOG_ONLY_UNIQUE	1	533	UNIQUE_MATCH	533	2003gn	57	LOSS2	16.7699	0.24151300000000001	0.1746611290470779	0.034380000000000001	0.033160000000000002	9.9999999999766942e-05	1.1290470778857475e-06	POST_MAPPING_DIAGNOSTIC	0	0
118	2003cq	16.574999999999999	0.18722	0.032750000000000001	0.033230000000000003	CATALOG_ONLY_UNIQUE	1	534	NO	CATALOG_ONLY_UNIQUE	1	534	UNIQUE_MATCH	534	2003cq	63	CFA3S	16.5746	0.25771500000000003	0.18722355621021625	0.032750000000000001	0.033230000000000003	0.00039999999999906777	3.5562102162489673e-06	POST_MAPPING_DIAGNOSTIC	0	0
119	2006S	16.655999999999999	0.12634000000000001	0.032239999999999998	0.033099999999999997	CATALOG_ONLY_UNIQUE	1	535	NO	CATALOG_ONLY_UNIQUE	1	535	UNIQUE_MATCH	535	2006S	64	CFA3K	16.655899999999999	0.175145	0.12634049232134567	0.032239999999999998	0.033099999999999997	9.9999999999766942e-05	4.9232134566312702e-07	POST_MAPPING_DIAGNOSTIC	0	0
120	2006gr	16.666	0.14951999999999999	0.034669999999999999	0.033520000000000001	CATALOG_ONLY_UNIQUE	1	537	NO	CATALOG_ONLY_UNIQUE	1	537	UNIQUE_MATCH	537	2006gr	57	LOSS2	16.665800000000001	0.205651	0.14951568479594374	0.034669999999999999	0.033520000000000001	0.00019999999999953388	4.3152040562488558e-06	POST_MAPPING_DIAGNOSTIC	0	0
121	2006gr	16.684999999999999	0.15265999999999999	0.034669999999999999	0.033520000000000001	CATALOG_ONLY_UNIQUE	1	538	NO	CATALOG_ONLY_UNIQUE	1	538	UNIQUE_MATCH	538	2006gr	64	CFA3K	16.684799999999999	0.20958399999999999	0.15265749244632573	0.034669999999999999	0.033520000000000001	0.00019999999999953388	2.507553674258034e-06	POST_MAPPING_DIAGNOSTIC	0	0
122	ASASSN-16dw	16.530999999999999	0.15945000000000001	0.034660000000000003	0.035650000000000001	CATALOG_ONLY_UNIQUE	1	539	NO	CATALOG_ONLY_UNIQUE	1	539	UNIQUE_MATCH	539	ASASSN-16dw	150	FOUND	16.5307	0.215389	0.15945353555189673	0.034660000000000003	0.035650000000000001	0.00029999999999930083	3.5355518967217225e-06	POST_MAPPING_DIAGNOSTIC	0	0
123	1996bl	16.481999999999999	0.10938000000000001	0.035999999999999997	0.034810000000000001	CATALOG_ONLY_UNIQUE	1	542	NO	CATALOG_ONLY_UNIQUE	1	542	UNIQUE_MATCH	542	1996bl	61	CFA1	16.4818	0.15329599999999999	0.10938459672184196	0.035999999999999997	0.034810000000000001	0.00019999999999953388	4.5967218419568079e-06	POST_MAPPING_DIAGNOSTIC	0	0
124	2003kc	16.603999999999999	0.14665	0.033160000000000002	0.034099999999999998	CATALOG_ONLY_UNIQUE	1	543	NO	CATALOG_ONLY_UNIQUE	1	543	UNIQUE_MATCH	543	2003kc	63	CFA3S	16.6036	0.20399400000000001	0.14664968462291353	0.033160000000000002	0.034099999999999998	0.00039999999999906777	3.1537708647388918e-07	POST_MAPPING_DIAGNOSTIC	0	0
125	ASASSN-15jl	16.629000000000001	0.1187	0.034680000000000002	0.03492	CATALOG_ONLY_UNIQUE	1	545	NO	CATALOG_ONLY_UNIQUE	1	545	UNIQUE_MATCH	545	ASASSN-15jl	150	FOUND	16.628599999999999	0.167159	0.11869679860889257	0.034680000000000002	0.03492	0.00040000000000262048	3.2013911074324497e-06	POST_MAPPING_DIAGNOSTIC	0	0
