h0dn_row_1based	name	h0dn_m_b	h0dn_err_m_b	h0dn_zhel	h0dn_zcmb	catalog_only_classification	catalog_candidate_count	catalog_candidate_official_rows_1based	covariance_diagonal_used_for_mapping	final_dependency_classification	candidate_count	candidate_official_rows_1based	match_status	official_row_1based	official_CID	IDSURVEY	survey_label	official_m_b_corr	official_m_b_corr_err_DIAG	official_STAT_SYS_diagonal_sqrt	official_zHEL	official_zCMB	delta_m_b	delta_err_m_b	delta_err_m_b_role	delta_zhel	delta_zcmb
15	2007F	15.831	0.12926000000000001	0.023619999999999999	0.024199999999999999	CATALOG_ONLY_UNIQUE	1	361	NO	CATALOG_ONLY_UNIQUE	1	361	UNIQUE_MATCH	361	2007F	64	CFA3K	15.831	0.181558	0.12925606368755008	0.023619999999999999	0.024199999999999999	0	3.9363124499369739e-06	POST_MAPPING_DIAGNOSTIC	0	0
16	2006ac	15.734	0.13764999999999999	0.023089999999999999	0.023949999999999999	CATALOG_ONLY_UNIQUE	1	364	NO	CATALOG_ONLY_UNIQUE	1	364	UNIQUE_MATCH	364	2006ac	57	LOSS2	15.7341	0.18215700000000001	0.13765413179414557	0.023089999999999999	0.023949999999999999	9.9999999999766942e-05	4.1317941455731866e-06	POST_MAPPING_DIAGNOSTIC	0	0
17	2006ac	15.699999999999999	0.14749999999999999	0.023089999999999999	0.023949999999999999	CATALOG_ONLY_UNIQUE	1	365	NO	CATALOG_ONLY_UNIQUE	1	365	UNIQUE_MATCH	365	2006ac	64	CFA3K	15.699999999999999	0.196215	0.14749911864143458	0.023089999999999999	0.023949999999999999	0	8.813585654077194e-07	POST_MAPPING_DIAGNOSTIC	0	0
18	ASASSN-15sf	15.978999999999999	0.16642000000000001	0.024680000000000001	0.02349	CATALOG_ONLY_UNIQUE	1	366	NO	CATALOG_ONLY_UNIQUE	1	366	UNIQUE_MATCH	366	ASASSN-15sf	150	FOUND	15.9787	0.23365	0.16642211391518857	0.024680000000000001	0.02349	0.00029999999999930083	2.1139151885618546e-06	POST_MAPPING_DIAGNOSTIC	0	0
19	2005bg	15.757	0.15629999999999999	0.023029999999999998	0.024140000000000002	CATALOG_ONLY_UNIQUE	1	367	NO	CATALOG_ONLY_UNIQUE	1	367	UNIQUE_MATCH	367	2005bg	5	CSP	15.757199999999999	0.20013500000000001	0.15629804861225874	0.023029999999999998	0.024140000000000002	0.00019999999999953388	1.9513877412558056e-06	POST_MAPPING_DIAGNOSTIC	0	0
20	2009D	15.755000000000001	0.14863999999999999	0.025100000000000001	0.024760000000000001	CATALOG_ONLY_UNIQUE	1	368	NO	CATALOG_ONLY_UNIQUE	1	368	UNIQUE_MATCH	368	2009D	5	CSP	15.755000000000001	0.159749	0.14863788211623577	0.025100000000000001	0.024760000000000001	0	2.1178837642243931e-06	POST_MAPPING_DIAGNOSTIC	0	0
21	2009D	15.821999999999999	0.11575000000000001	0.025100000000000001	0.024760000000000001	CATALOG_ONLY_UNIQUE	1	369	NO	CATALOG_ONLY_UNIQUE	1	369	UNIQUE_MATCH	369	2009D	51	LOSS1	15.8216	0.20820900000000001	0.11574856370599161	0.025100000000000001	0.024760000000000001	0.00039999999999906777	1.4362940083945119e-06	POST_MAPPING_DIAGNOSTIC	0	0
22	2009D	15.696	0.1206	0.025100000000000001	0.024760000000000001	CATALOG_ONLY_UNIQUE	1	370	NO	CATALOG_ONLY_UNIQUE	1	370	UNIQUE_MATCH	370	2009D	65	CFA4p2	15.696300000000001	0.16872500000000001	0.12059846599356062	0.025100000000000001	0.024760000000000001	0.00030000000000107718	1.5340064393742914e-06	POST_MAPPING_DIAGNOSTIC	0	0
23	PS16ccn	15.925000000000001	0.13457	0.024309999999999998	0.023949999999999999	CATALOG_ONLY_UNIQUE	1	371	NO	CATALOG_ONLY_UNIQUE	1	371	UNIQUE_MATCH	371	PS16ccn	150	FOUND	15.9254	0.18717500000000001	0.13456741804760913	0.024309999999999998	0.023949999999999999	0.00039999999999906777	2.5819523908621189e-06	POST_MAPPING_DIAGNOSTIC	0	0
24	ASASSN-16hz	15.558	0.23191000000000001	0.025309999999999999	0.024060000000000002	CATALOG_ONLY_UNIQUE	1	377	NO	CATALOG_ONLY_UNIQUE	1	377	UNIQUE_MATCH	377	ASASSN-16hz	150	FOUND	15.558199999999999	0.31644600000000001	0.23191332432613698	0.025309999999999999	0.024060000000000002	0.00019999999999953388	3.324326136977529e-06	POST_MAPPING_DIAGNOSTIC	0	0
