h0dn_row_1based	name	official_row_1based	official_CID	IDSURVEY	h0dn_err_m_b	official_m_b_corr_err_DIAG	official_STAT_SYS_diagonal	official_STAT_SYS_diagonal_sqrt	catalog_vs_matrix_absolute_difference	catalog_vs_matrix_within_tolerance	h0dn_vs_matrix_absolute_difference	h0dn_vs_matrix_within_tolerance
14	2007F	360	2007F	51	0.14687	0.20652899999999999	0.021571179999999999	0.14687130420882086	0.059657695791179133	NO	1.3042088208570224e-06	YES
15	2007F	361	2007F	64	0.12926000000000001	0.181558	0.016707130000000001	0.12925606368755008	0.05230193631244992	NO	3.9363124499369739e-06	YES
16	2006ac	364	2006ac	57	0.13764999999999999	0.18215700000000001	0.018948659999999999	0.13765413179414557	0.044502868205854446	NO	4.1317941455731866e-06	YES
17	2006ac	365	2006ac	64	0.14749999999999999	0.196215	0.021755989999999999	0.14749911864143458	0.048715881358565416	NO	8.813585654077194e-07	YES
18	ASASSN-15sf	366	ASASSN-15sf	150	0.16642000000000001	0.23365	0.02769632	0.16642211391518857	0.067227886084811422	NO	2.1139151885618546e-06	YES
19	2005bg	367	2005bg	5	0.15629999999999999	0.20013500000000001	0.024429079999999999	0.15629804861225874	0.043836951387741269	NO	1.9513877412558056e-06	YES
20	2009D	368	2009D	5	0.14863999999999999	0.159749	0.02209322	0.14863788211623577	0.011111117883764232	NO	2.1178837642243931e-06	YES
21	2009D	369	2009D	51	0.11575000000000001	0.20820900000000001	0.01339773	0.11574856370599161	0.092460436294008394	NO	1.4362940083945119e-06	YES
22	2009D	370	2009D	65	0.1206	0.16872500000000001	0.01454399	0.12059846599356062	0.048126534006439389	NO	1.5340064393742914e-06	YES
23	PS16ccn	371	PS16ccn	150	0.13457	0.18717500000000001	0.018108389999999999	0.13456741804760913	0.052607581952390875	NO	2.5819523908621189e-06	YES
24	ASASSN-16hz	377	ASASSN-16hz	150	0.23191000000000001	0.31644600000000001	0.053783789999999998	0.23191332432613698	0.084532675673863023	NO	3.324326136977529e-06	YES
25	2003he	378	2003he	57	0.17121	0.23902699999999999	0.029311830000000001	0.17120697999789611	0.067820020002103881	NO	3.0200021038928604e-06	YES
26	2001cj	379	2001cj	57	0.16935	0.22689200000000001	0.028678849999999999	0.16934830970517539	0.057543690294824618	NO	1.6902948246078076e-06	YES
27	Gaia16agf	380	Gaia16agf	150	0.19567999999999999	0.26716600000000001	0.03828993	0.19567812856832006	0.07148787143167995	NO	1.8714316799284259e-06	YES
28	2007cq	381	2007cq	56	0.14588999999999999	0.28677399999999997	0.02128509	0.14589410543267331	0.14087989456732666	NO	4.1054326733180879e-06	YES
29	2007cq	382	2007cq	64	0.12675	0.17990300000000001	0.01606463	0.12674632144563408	0.053156678554365927	NO	3.6785543659212383e-06	YES
30	2003it	383	2003it	63	0.20754	0.20421900000000001	0.043074889999999998	0.20754491080245741	0.0033259108024573936	NO	4.9108024574029407e-06	YES
31	2007cq	384	2007cq	57	0.12841	0.174816	0.016489159999999999	0.12841012421144993	0.046405875788550072	NO	1.2421144993113309e-07	YES
32	2011dn	386	2011dn	56	0.24315999999999999	0.33216899999999999	0.05912473	0.24315577311674094	0.08901322688325905	NO	4.2268832590452998e-06	YES
33	2007sw	387	2007sw	65	0.21920000000000001	0.30529200000000001	0.048047159999999998	0.21919662406159451	0.086095375938405494	NO	3.3759384054921071e-06	YES
34	2012bh	388	2012bh	51	0.16939000000000001	0.23674700000000001	0.02869176	0.1693864221240888	0.067360577875911209	NO	3.5778759112092828e-06	YES
35	2002bf	394	2002bf	50	0.19771	0.267708	0.039087360000000002	0.19770523513554214	0.070002764864457862	NO	4.7648644578568433e-06	YES
36	PS15ahs	396	PS15ahs	150	0.13116	0.18396599999999999	0.0172024	0.13115792008109919	0.052808079918900797	NO	2.0799189008047225e-06	YES
37	PSNJ0153424	397	PSNJ0153424	150	0.16707	0.23216000000000001	0.027912610000000001	0.16707067366836109	0.065089326331638914	NO	6.7366836109528094e-07	YES
38	SN2017hn	398	SN2017hn	150	0.13539000000000001	0.188251	0.018329689999999999	0.13538718550882134	0.052863814491178662	NO	2.8144911786709415e-06	YES
39	SN2017ms	400	SN2017ms	150	0.14188999999999999	0.198351	0.02013332	0.14189193070784539	0.056459069292154607	NO	1.9307078454045001e-06	YES
40	2005M	402	2005M	57	0.12681000000000001	0.17750299999999999	0.016081689999999999	0.1268136033712472	0.050689396628752798	NO	3.6033712471905677e-06	YES
41	2005M	403	2005M	5	0.1414	0.19639499999999999	0.019993360000000002	0.14139787834334716	0.054997121656652825	NO	2.121656652837034e-06	YES
42	2005M	404	2005M	64	0.24867	0.34726600000000002	0.061835960000000002	0.24866837354195245	0.098597626458047566	NO	1.6264580475489065e-06	YES
43	SN2017mf	405	SN2017mf	150	0.12692999999999999	0.176679	0.01611112	0.12692958677944241	0.049749413220557592	NO	4.1322055757686549e-07	YES
44	2005ms	409	2005ms	64	0.12589	0.17754600000000001	0.015847509999999999	0.12588689367841277	0.051659106321587239	NO	3.1063215872317862e-06	YES
45	1999gp	410	1999gp	62	0.14524000000000001	0.18137400000000001	0.02109544	0.14524269344789775	0.036131306552102255	NO	2.6934478977447274e-06	YES
