h0dn_row_1based	name	catalog_only_classification	catalog_candidate_count	catalog_candidate_official_rows_1based	catalog_candidate_details_json	covariance_diagonal_used	covariance_assisted_candidate_count	covariance_assisted_candidate_official_rows_1based	final_dependency_classification	final_candidate_count	final_official_row_1based	final_IDSURVEY
16	2006ac	CATALOG_ONLY_UNIQUE	1	364	"[{""CID"":""2006ac"",""IDSURVEY"":57,""covariance_assist_pass"":null,""delta_err_m_b"":4.131794145573187e-06,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":364}]"	NO			CATALOG_ONLY_UNIQUE	1	364	57
17	2006ac	CATALOG_ONLY_UNIQUE	1	365	"[{""CID"":""2006ac"",""IDSURVEY"":64,""covariance_assist_pass"":null,""delta_err_m_b"":8.813585654077194e-07,""delta_m_b"":0.0,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":365}]"	NO			CATALOG_ONLY_UNIQUE	1	365	64
18	ASASSN-15sf	CATALOG_ONLY_UNIQUE	1	366	"[{""CID"":""ASASSN-15sf"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":2.1139151885618546e-06,""delta_m_b"":0.0002999999999993008,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":366}]"	NO			CATALOG_ONLY_UNIQUE	1	366	150
19	2005bg	CATALOG_ONLY_UNIQUE	1	367	"[{""CID"":""2005bg"",""IDSURVEY"":5,""covariance_assist_pass"":null,""delta_err_m_b"":1.9513877412558056e-06,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":367}]"	NO			CATALOG_ONLY_UNIQUE	1	367	5
20	2009D	CATALOG_ONLY_UNIQUE	1	368	"[{""CID"":""2009D"",""IDSURVEY"":5,""covariance_assist_pass"":null,""delta_err_m_b"":2.117883764224393e-06,""delta_m_b"":0.0,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":368}]"	NO			CATALOG_ONLY_UNIQUE	1	368	5
21	2009D	CATALOG_ONLY_UNIQUE	1	369	"[{""CID"":""2009D"",""IDSURVEY"":51,""covariance_assist_pass"":null,""delta_err_m_b"":1.436294008394512e-06,""delta_m_b"":0.00039999999999906777,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":369}]"	NO			CATALOG_ONLY_UNIQUE	1	369	51
22	2009D	CATALOG_ONLY_UNIQUE	1	370	"[{""CID"":""2009D"",""IDSURVEY"":65,""covariance_assist_pass"":null,""delta_err_m_b"":1.5340064393742914e-06,""delta_m_b"":0.0003000000000010772,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":370}]"	NO			CATALOG_ONLY_UNIQUE	1	370	65
23	PS16ccn	CATALOG_ONLY_UNIQUE	1	371	"[{""CID"":""PS16ccn"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":2.581952390862119e-06,""delta_m_b"":0.00039999999999906777,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":371}]"	NO			CATALOG_ONLY_UNIQUE	1	371	150
24	ASASSN-16hz	CATALOG_ONLY_UNIQUE	1	377	"[{""CID"":""ASASSN-16hz"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":3.324326136977529e-06,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":377}]"	NO			CATALOG_ONLY_UNIQUE	1	377	150
25	2003he	CATALOG_ONLY_UNIQUE	1	378	"[{""CID"":""2003he"",""IDSURVEY"":57,""covariance_assist_pass"":null,""delta_err_m_b"":3.0200021038928604e-06,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":378}]"	NO			CATALOG_ONLY_UNIQUE	1	378	57
26	2001cj	CATALOG_ONLY_UNIQUE	1	379	"[{""CID"":""2001cj"",""IDSURVEY"":57,""covariance_assist_pass"":null,""delta_err_m_b"":1.6902948246078076e-06,""delta_m_b"":0.0002999999999993008,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":379}]"	NO			CATALOG_ONLY_UNIQUE	1	379	57
27	Gaia16agf	CATALOG_ONLY_UNIQUE	1	380	"[{""CID"":""Gaia16agf"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":1.8714316799284259e-06,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":380}]"	NO			CATALOG_ONLY_UNIQUE	1	380	150
28	2007cq	CATALOG_ONLY_UNIQUE	1	381	"[{""CID"":""2007cq"",""IDSURVEY"":56,""covariance_assist_pass"":null,""delta_err_m_b"":4.105432673318088e-06,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":381}]"	NO			CATALOG_ONLY_UNIQUE	1	381	56
29	2007cq	CATALOG_ONLY_UNIQUE	1	382	"[{""CID"":""2007cq"",""IDSURVEY"":64,""covariance_assist_pass"":null,""delta_err_m_b"":3.6785543659212383e-06,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":382}]"	NO			CATALOG_ONLY_UNIQUE	1	382	64
30	2003it	CATALOG_ONLY_UNIQUE	1	383	"[{""CID"":""2003it"",""IDSURVEY"":63,""covariance_assist_pass"":null,""delta_err_m_b"":4.910802457402941e-06,""delta_m_b"":0.0,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":383}]"	NO			CATALOG_ONLY_UNIQUE	1	383	63
31	2007cq	CATALOG_ONLY_UNIQUE	1	384	"[{""CID"":""2007cq"",""IDSURVEY"":57,""covariance_assist_pass"":null,""delta_err_m_b"":1.242114499311331e-07,""delta_m_b"":0.0,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":384}]"	NO			CATALOG_ONLY_UNIQUE	1	384	57
32	2011dn	CATALOG_ONLY_UNIQUE	1	386	"[{""CID"":""2011dn"",""IDSURVEY"":56,""covariance_assist_pass"":null,""delta_err_m_b"":4.2268832590453e-06,""delta_m_b"":0.0002999999999993008,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":386}]"	NO			CATALOG_ONLY_UNIQUE	1	386	56
33	2007sw	CATALOG_ONLY_UNIQUE	1	387	"[{""CID"":""2007sw"",""IDSURVEY"":65,""covariance_assist_pass"":null,""delta_err_m_b"":3.375938405492107e-06,""delta_m_b"":0.0003000000000010772,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":387}]"	NO			CATALOG_ONLY_UNIQUE	1	387	65
34	2012bh	CATALOG_ONLY_UNIQUE	1	388	"[{""CID"":""2012bh"",""IDSURVEY"":51,""covariance_assist_pass"":null,""delta_err_m_b"":3.577875911209283e-06,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":388}]"	NO			CATALOG_ONLY_UNIQUE	1	388	51
35	2002bf	CATALOG_ONLY_UNIQUE	1	394	"[{""CID"":""2002bf"",""IDSURVEY"":50,""covariance_assist_pass"":null,""delta_err_m_b"":4.764864457856843e-06,""delta_m_b"":0.0002999999999993008,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":394}]"	NO			CATALOG_ONLY_UNIQUE	1	394	50
36	PS15ahs	CATALOG_ONLY_UNIQUE	1	396	"[{""CID"":""PS15ahs"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":2.0799189008047225e-06,""delta_m_b"":0.00039999999999906777,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":396}]"	NO			CATALOG_ONLY_UNIQUE	1	396	150
37	PSNJ0153424	CATALOG_ONLY_UNIQUE	1	397	"[{""CID"":""PSNJ0153424"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":6.736683610952809e-07,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":397}]"	NO			CATALOG_ONLY_UNIQUE	1	397	150
38	SN2017hn	CATALOG_ONLY_UNIQUE	1	398	"[{""CID"":""SN2017hn"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":2.8144911786709415e-06,""delta_m_b"":0.0001000000000015433,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":398}]"	NO			CATALOG_ONLY_UNIQUE	1	398	150
39	SN2017ms	CATALOG_ONLY_UNIQUE	1	400	"[{""CID"":""SN2017ms"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":1.9307078454045e-06,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":400}]"	NO			CATALOG_ONLY_UNIQUE	1	400	150
40	2005M	CATALOG_ONLY_UNIQUE	1	402	"[{""CID"":""2005M"",""IDSURVEY"":57,""covariance_assist_pass"":null,""delta_err_m_b"":3.6033712471905677e-06,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":402}]"	NO			CATALOG_ONLY_UNIQUE	1	402	57
41	2005M	CATALOG_ONLY_UNIQUE	1	403	"[{""CID"":""2005M"",""IDSURVEY"":5,""covariance_assist_pass"":null,""delta_err_m_b"":2.121656652837034e-06,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":403}]"	NO			CATALOG_ONLY_UNIQUE	1	403	5
42	2005M	CATALOG_ONLY_UNIQUE	1	404	"[{""CID"":""2005M"",""IDSURVEY"":64,""covariance_assist_pass"":null,""delta_err_m_b"":1.6264580475489065e-06,""delta_m_b"":0.0,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":404}]"	NO			CATALOG_ONLY_UNIQUE	1	404	64
43	SN2017mf	CATALOG_ONLY_UNIQUE	1	405	"[{""CID"":""SN2017mf"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":4.132205575768655e-07,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":405}]"	NO			CATALOG_ONLY_UNIQUE	1	405	150
44	2005ms	CATALOG_ONLY_UNIQUE	1	409	"[{""CID"":""2005ms"",""IDSURVEY"":64,""covariance_assist_pass"":null,""delta_err_m_b"":3.106321587231786e-06,""delta_m_b"":0.0,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":409}]"	NO			CATALOG_ONLY_UNIQUE	1	409	64
45	1999gp	CATALOG_ONLY_UNIQUE	1	410	"[{""CID"":""1999gp"",""IDSURVEY"":62,""covariance_assist_pass"":null,""delta_err_m_b"":2.6934478977447274e-06,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":410}]"	NO			CATALOG_ONLY_UNIQUE	1	410	62
46	1999gp	CATALOG_ONLY_UNIQUE	1	411	"[{""CID"":""1999gp"",""IDSURVEY"":57,""covariance_assist_pass"":null,""delta_err_m_b"":4.071696270757652e-06,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":411}]"	NO			CATALOG_ONLY_UNIQUE	1	411	57
