h0dn_row_1based	name	catalog_only_classification	catalog_candidate_count	catalog_candidate_official_rows_1based	catalog_candidate_details_json	covariance_diagonal_used	covariance_assisted_candidate_count	covariance_assisted_candidate_official_rows_1based	final_dependency_classification	final_candidate_count	final_official_row_1based	final_IDSURVEY
75	PSNJ0859349	CATALOG_ONLY_UNIQUE	1	457	"[{""CID"":""PSNJ0859349"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":1.0782665685049597e-06,""delta_m_b"":0.0,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":457}]"	NO			CATALOG_ONLY_UNIQUE	1	457	150
76	LSQ12gdj	CATALOG_ONLY_UNIQUE	1	459	"[{""CID"":""LSQ12gdj"",""IDSURVEY"":56,""covariance_assist_pass"":null,""delta_err_m_b"":1.6722244236822004e-06,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":459}]"	NO			CATALOG_ONLY_UNIQUE	1	459	56
77	2000cw	CATALOG_ONLY_UNIQUE	1	460	"[{""CID"":""2000cw"",""IDSURVEY"":57,""covariance_assist_pass"":null,""delta_err_m_b"":1.084197592288172e-06,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":460}]"	NO			CATALOG_ONLY_UNIQUE	1	460	57
78	2002de	CATALOG_ONLY_UNIQUE	1	461	"[{""CID"":""2002de"",""IDSURVEY"":57,""covariance_assist_pass"":null,""delta_err_m_b"":4.925513789250102e-06,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":461}]"	NO			CATALOG_ONLY_UNIQUE	1	461	57
79	ASASSN-16hh	CATALOG_ONLY_UNIQUE	1	465	"[{""CID"":""ASASSN-16hh"",""IDSURVEY"":18,""covariance_assist_pass"":null,""delta_err_m_b"":4.054913833789753e-06,""delta_m_b"":0.0004999999999988347,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":465}]"	NO			CATALOG_ONLY_UNIQUE	1	465	18
80	Gaia16bba	CATALOG_ONLY_UNIQUE	1	467	"[{""CID"":""Gaia16bba"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":7.656965597679921e-08,""delta_m_b"":0.0004000000000026205,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":467}]"	NO			CATALOG_ONLY_UNIQUE	1	467	150
81	2004ef	CATALOG_ONLY_UNIQUE	1	469	"[{""CID"":""2004ef"",""IDSURVEY"":57,""covariance_assist_pass"":null,""delta_err_m_b"":3.045821542785321e-06,""delta_m_b"":0.0004999999999988347,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":469}]"	NO			CATALOG_ONLY_UNIQUE	1	469	57
82	2004ef	CATALOG_ONLY_UNIQUE	1	470	"[{""CID"":""2004ef"",""IDSURVEY"":5,""covariance_assist_pass"":null,""delta_err_m_b"":4.105288669814522e-06,""delta_m_b"":0.0002000000000030866,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":470}]"	NO			CATALOG_ONLY_UNIQUE	1	470	5
83	2004ef	CATALOG_ONLY_UNIQUE	1	471	"[{""CID"":""2004ef"",""IDSURVEY"":64,""covariance_assist_pass"":null,""delta_err_m_b"":1.073341824503471e-06,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":471}]"	NO			CATALOG_ONLY_UNIQUE	1	471	64
84	AT2017lm	CATALOG_ONLY_UNIQUE	1	473	"[{""CID"":""AT2017lm"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":1.8207647672630056e-06,""delta_m_b"":0.0002000000000030866,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":473}]"	NO			CATALOG_ONLY_UNIQUE	1	473	150
85	ASASSN-16hr	CATALOG_ONLY_UNIQUE	1	479	"[{""CID"":""ASASSN-16hr"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":1.2862989242634626e-06,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":479}]"	NO			CATALOG_ONLY_UNIQUE	1	479	150
86	1990O	CATALOG_ONLY_UNIQUE	1	481	"[{""CID"":""1990O"",""IDSURVEY"":50,""covariance_assist_pass"":null,""delta_err_m_b"":4.1533911800117895e-06,""delta_m_b"":0.00039999999999906777,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":481}]"	NO			CATALOG_ONLY_UNIQUE	1	481	50
87	2008gg	CATALOG_ONLY_UNIQUE	1	487	"[{""CID"":""2008gg"",""IDSURVEY"":51,""covariance_assist_pass"":null,""delta_err_m_b"":8.227020020790121e-08,""delta_m_b"":0.0,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":487}]"	NO			CATALOG_ONLY_UNIQUE	1	487	51
88	2008gg	CATALOG_ONLY_UNIQUE	1	488	"[{""CID"":""2008gg"",""IDSURVEY"":5,""covariance_assist_pass"":null,""delta_err_m_b"":3.3537150284368433e-06,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":488}]"	NO			CATALOG_ONLY_UNIQUE	1	488	5
89	1999cc	CATALOG_ONLY_UNIQUE	1	489	"[{""CID"":""1999cc"",""IDSURVEY"":62,""covariance_assist_pass"":null,""delta_err_m_b"":1.1266461952819107e-06,""delta_m_b"":0.0002999999999993008,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":489}]"	NO			CATALOG_ONLY_UNIQUE	1	489	62
90	2007bd	CATALOG_ONLY_UNIQUE	1	492	"[{""CID"":""2007bd"",""IDSURVEY"":51,""covariance_assist_pass"":null,""delta_err_m_b"":3.432162102329217e-06,""delta_m_b"":0.0002999999999993008,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":492}]"	NO			CATALOG_ONLY_UNIQUE	1	492	51
91	2007bd	CATALOG_ONLY_UNIQUE	1	493	"[{""CID"":""2007bd"",""IDSURVEY"":5,""covariance_assist_pass"":null,""delta_err_m_b"":2.0873808630889057e-06,""delta_m_b"":0.0002999999999993008,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":493}]"	NO			CATALOG_ONLY_UNIQUE	1	493	5
92	2007bd	CATALOG_ONLY_UNIQUE	1	494	"[{""CID"":""2007bd"",""IDSURVEY"":64,""covariance_assist_pass"":null,""delta_err_m_b"":2.3034498853463647e-06,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":494}]"	NO			CATALOG_ONLY_UNIQUE	1	494	64
93	ASASSN-15hg	CATALOG_ONLY_UNIQUE	1	499	"[{""CID"":""ASASSN-15hg"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":3.691608205236285e-08,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":499}]"	NO			CATALOG_ONLY_UNIQUE	1	499	150
94	ATLAS17axb	CATALOG_ONLY_UNIQUE	1	500	"[{""CID"":""ATLAS17axb"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":1.6255150512567429e-06,""delta_m_b"":0.0002000000000030866,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":500}]"	NO			CATALOG_ONLY_UNIQUE	1	500	150
95	CSS160428	CATALOG_ONLY_UNIQUE	1	502	"[{""CID"":""CSS160428"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":3.0638435005725384e-06,""delta_m_b"":0.00030000000000285354,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":502}]"	NO			CATALOG_ONLY_UNIQUE	1	502	150
96	2000dn	CATALOG_ONLY_UNIQUE	1	503	"[{""CID"":""2000dn"",""IDSURVEY"":57,""covariance_assist_pass"":null,""delta_err_m_b"":2.78094391885364e-06,""delta_m_b"":0.0,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":503}]"	NO			CATALOG_ONLY_UNIQUE	1	503	57
97	2006en	CATALOG_ONLY_UNIQUE	1	504	"[{""CID"":""2006en"",""IDSURVEY"":57,""covariance_assist_pass"":null,""delta_err_m_b"":2.619777822149283e-06,""delta_m_b"":0.0004000000000026205,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":504}]"	NO			CATALOG_ONLY_UNIQUE	1	504	57
98	2006en	CATALOG_ONLY_UNIQUE	1	505	"[{""CID"":""2006en"",""IDSURVEY"":64,""covariance_assist_pass"":null,""delta_err_m_b"":1.225143926864014e-07,""delta_m_b"":0.0002999999999993008,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":505}]"	NO			CATALOG_ONLY_UNIQUE	1	505	64
99	2008bq	CATALOG_ONLY_UNIQUE	1	506	"[{""CID"":""2008bq"",""IDSURVEY"":5,""covariance_assist_pass"":null,""delta_err_m_b"":2.1950289737227013e-06,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":506}]"	NO			CATALOG_ONLY_UNIQUE	1	506	5
100	ASASSN-16oz	CATALOG_ONLY_UNIQUE	1	507	"[{""CID"":""ASASSN-16oz"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":3.041408651316413e-06,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":507}]"	NO			CATALOG_ONLY_UNIQUE	1	507	150
101	2006az	CATALOG_ONLY_UNIQUE	1	508	"[{""CID"":""2006az"",""IDSURVEY"":64,""covariance_assist_pass"":null,""delta_err_m_b"":1.0115985143582806e-06,""delta_m_b"":0.00039999999999906777,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":508}]"	NO			CATALOG_ONLY_UNIQUE	1	508	64
102	010026	CATALOG_ONLY_UNIQUE	1	509	"[{""CID"":""010026"",""IDSURVEY"":15,""covariance_assist_pass"":null,""delta_err_m_b"":4.290770225984231e-06,""delta_m_b"":0.00039999999999906777,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":509}]"	NO			CATALOG_ONLY_UNIQUE	1	509	15
103	AT2017po	CATALOG_ONLY_UNIQUE	1	510	"[{""CID"":""AT2017po"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":2.591816837704819e-06,""delta_m_b"":0.0,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":510}]"	NO			CATALOG_ONLY_UNIQUE	1	510	150
104	2007ux	CATALOG_ONLY_UNIQUE	1	513	"[{""CID"":""2007ux"",""IDSURVEY"":5,""covariance_assist_pass"":null,""delta_err_m_b"":1.1661932730056002e-06,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":513}]"	NO			CATALOG_ONLY_UNIQUE	1	513	5
105	ASASSN-15pr	CATALOG_ONLY_UNIQUE	1	515	"[{""CID"":""ASASSN-15pr"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":3.393198139356457e-06,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":515}]"	NO			CATALOG_ONLY_UNIQUE	1	515	150
106	SN2016hpx	CATALOG_ONLY_UNIQUE	1	519	"[{""CID"":""SN2016hpx"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":3.009966924955032e-06,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":519}]"	NO			CATALOG_ONLY_UNIQUE	1	519	150
107	SN2017cii	CATALOG_ONLY_UNIQUE	1	520	"[{""CID"":""SN2017cii"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":2.2362542326515022e-06,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":520}]"	NO			CATALOG_ONLY_UNIQUE	1	520	150
108	2006te	CATALOG_ONLY_UNIQUE	1	521	"[{""CID"":""2006te"",""IDSURVEY"":64,""covariance_assist_pass"":null,""delta_err_m_b"":3.085947651082499e-06,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":521}]"	NO			CATALOG_ONLY_UNIQUE	1	521	64
109	2004as	CATALOG_ONLY_UNIQUE	1	523	"[{""CID"":""2004as"",""IDSURVEY"":57,""covariance_assist_pass"":null,""delta_err_m_b"":2.6684072522431546e-06,""delta_m_b"":0.00039999999999906777,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":523}]"	NO			CATALOG_ONLY_UNIQUE	1	523	57
110	2004as	CATALOG_ONLY_UNIQUE	1	524	"[{""CID"":""2004as"",""IDSURVEY"":63,""covariance_assist_pass"":null,""delta_err_m_b"":5.710485404819554e-07,""delta_m_b"":0.00030000000000285354,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":524}]"	NO			CATALOG_ONLY_UNIQUE	1	524	63
111	2008gp	CATALOG_ONLY_UNIQUE	1	527	"[{""CID"":""2008gp"",""IDSURVEY"":51,""covariance_assist_pass"":null,""delta_err_m_b"":2.9502612617221535e-06,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":527}]"	NO			CATALOG_ONLY_UNIQUE	1	527	51
112	2010ag	CATALOG_ONLY_UNIQUE	1	528	"[{""CID"":""2010ag"",""IDSURVEY"":66,""covariance_assist_pass"":null,""delta_err_m_b"":3.746300810819614e-06,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":528}]"	NO			CATALOG_ONLY_UNIQUE	1	528	66
113	2005iq	CATALOG_ONLY_UNIQUE	1	529	"[{""CID"":""2005iq"",""IDSURVEY"":64,""covariance_assist_pass"":null,""delta_err_m_b"":3.0769685948756065e-06,""delta_m_b"":0.0002999999999993008,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":529}]"	NO			CATALOG_ONLY_UNIQUE	1	529	64
114	2005iq	CATALOG_ONLY_UNIQUE	1	530	"[{""CID"":""2005iq"",""IDSURVEY"":5,""covariance_assist_pass"":null,""delta_err_m_b"":3.561479141211965e-06,""delta_m_b"":0.00039999999999906777,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":530}]"	NO			CATALOG_ONLY_UNIQUE	1	530	5
115	PS15bsq	CATALOG_ONLY_UNIQUE	1	531	"[{""CID"":""PS15bsq"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":4.5724067567060045e-06,""delta_m_b"":0.0002999999999993008,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":531}]"	NO			CATALOG_ONLY_UNIQUE	1	531	150
116	2004L	CATALOG_ONLY_UNIQUE	1	532	"[{""CID"":""2004L"",""IDSURVEY"":63,""covariance_assist_pass"":null,""delta_err_m_b"":3.5234007549622692e-06,""delta_m_b"":0.0,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":532}]"	NO			CATALOG_ONLY_UNIQUE	1	532	63
117	2003gn	CATALOG_ONLY_UNIQUE	1	533	"[{""CID"":""2003gn"",""IDSURVEY"":57,""covariance_assist_pass"":null,""delta_err_m_b"":1.1290470778857475e-06,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":533}]"	NO			CATALOG_ONLY_UNIQUE	1	533	57
118	2003cq	CATALOG_ONLY_UNIQUE	1	534	"[{""CID"":""2003cq"",""IDSURVEY"":63,""covariance_assist_pass"":null,""delta_err_m_b"":3.5562102162489673e-06,""delta_m_b"":0.00039999999999906777,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":534}]"	NO			CATALOG_ONLY_UNIQUE	1	534	63
119	2006S	CATALOG_ONLY_UNIQUE	1	535	"[{""CID"":""2006S"",""IDSURVEY"":64,""covariance_assist_pass"":null,""delta_err_m_b"":4.92321345663127e-07,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":535}]"	NO			CATALOG_ONLY_UNIQUE	1	535	64
120	2006gr	CATALOG_ONLY_UNIQUE	1	537	"[{""CID"":""2006gr"",""IDSURVEY"":57,""covariance_assist_pass"":null,""delta_err_m_b"":4.315204056248856e-06,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":537}]"	NO			CATALOG_ONLY_UNIQUE	1	537	57
121	2006gr	CATALOG_ONLY_UNIQUE	1	538	"[{""CID"":""2006gr"",""IDSURVEY"":64,""covariance_assist_pass"":null,""delta_err_m_b"":2.507553674258034e-06,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":538}]"	NO			CATALOG_ONLY_UNIQUE	1	538	64
122	ASASSN-16dw	CATALOG_ONLY_UNIQUE	1	539	"[{""CID"":""ASASSN-16dw"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":3.5355518967217225e-06,""delta_m_b"":0.0002999999999993008,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":539}]"	NO			CATALOG_ONLY_UNIQUE	1	539	150
123	1996bl	CATALOG_ONLY_UNIQUE	1	542	"[{""CID"":""1996bl"",""IDSURVEY"":61,""covariance_assist_pass"":null,""delta_err_m_b"":4.596721841956808e-06,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":542}]"	NO			CATALOG_ONLY_UNIQUE	1	542	61
124	2003kc	CATALOG_ONLY_UNIQUE	1	543	"[{""CID"":""2003kc"",""IDSURVEY"":63,""covariance_assist_pass"":null,""delta_err_m_b"":3.153770864738892e-07,""delta_m_b"":0.00039999999999906777,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":543}]"	NO			CATALOG_ONLY_UNIQUE	1	543	63
125	ASASSN-15jl	CATALOG_ONLY_UNIQUE	1	545	"[{""CID"":""ASASSN-15jl"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":3.2013911074324497e-06,""delta_m_b"":0.0004000000000026205,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":545}]"	NO			CATALOG_ONLY_UNIQUE	1	545	150
126	1992bg	CATALOG_ONLY_UNIQUE	1	546	"[{""CID"":""1992bg"",""IDSURVEY"":50,""covariance_assist_pass"":null,""delta_err_m_b"":3.88033024203982e-06,""delta_m_b"":0.0002999999999993008,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":546}]"	NO			CATALOG_ONLY_UNIQUE	1	546	50
127	ASASSN-15tg	CATALOG_ONLY_UNIQUE	1	550	"[{""CID"":""ASASSN-15tg"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":3.1635459668277743e-06,""delta_m_b"":0.0,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":550}]"	NO			CATALOG_ONLY_UNIQUE	1	550	150
128	PTSS-16efw	CATALOG_ONLY_UNIQUE	1	552	"[{""CID"":""PTSS-16efw"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":4.893093567576168e-06,""delta_m_b"":0.0,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":552}]"	NO			CATALOG_ONLY_UNIQUE	1	552	150
129	2016fbk	CATALOG_ONLY_UNIQUE	1	553	"[{""CID"":""2016fbk"",""IDSURVEY"":51,""covariance_assist_pass"":null,""delta_err_m_b"":2.6492296541502647e-06,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":553}]"	NO			CATALOG_ONLY_UNIQUE	1	553	51
130	1994T	CATALOG_ONLY_UNIQUE	1	555	"[{""CID"":""1994T"",""IDSURVEY"":61,""covariance_assist_pass"":null,""delta_err_m_b"":2.908490356917648e-06,""delta_m_b"":0.0004999999999988347,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":555}]"	NO			CATALOG_ONLY_UNIQUE	1	555	61
131	ASASSN-15mi	CATALOG_ONLY_UNIQUE	1	556	"[{""CID"":""ASASSN-15mi"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":2.943267756155832e-06,""delta_m_b"":0.0004999999999988347,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":556}]"	NO			CATALOG_ONLY_UNIQUE	1	556	150
132	ASASSN-15ss	CATALOG_ONLY_UNIQUE	1	557	"[{""CID"":""ASASSN-15ss"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":3.335606318904949e-06,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":557}]"	NO			CATALOG_ONLY_UNIQUE	1	557	150
133	2001ck	CATALOG_ONLY_UNIQUE	1	558	"[{""CID"":""2001ck"",""IDSURVEY"":57,""covariance_assist_pass"":null,""delta_err_m_b"":1.147578219479195e-06,""delta_m_b"":0.0004000000000026205,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":558}]"	NO			CATALOG_ONLY_UNIQUE	1	558	57
134	PS15bbn	CATALOG_ONLY_UNIQUE	1	559	"[{""CID"":""PS15bbn"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":4.3925879932571466e-06,""delta_m_b"":0.0004999999999988347,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":559}]"	NO			CATALOG_ONLY_UNIQUE	1	559	150
135	2008hj	CATALOG_ONLY_UNIQUE	1	561	"[{""CID"":""2008hj"",""IDSURVEY"":5,""covariance_assist_pass"":null,""delta_err_m_b"":3.420915224913723e-06,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":561}]"	NO			CATALOG_ONLY_UNIQUE	1	561	5
136	2008hj	CATALOG_ONLY_UNIQUE	1	562	"[{""CID"":""2008hj"",""IDSURVEY"":65,""covariance_assist_pass"":null,""delta_err_m_b"":1.1068514934042817e-06,""delta_m_b"":0.00039999999999906777,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":562}]"	NO			CATALOG_ONLY_UNIQUE	1	562	65
137	2002hu	CATALOG_ONLY_UNIQUE	1	568	"[{""CID"":""2002hu"",""IDSURVEY"":63,""covariance_assist_pass"":null,""delta_err_m_b"":3.7182147520076203e-06,""delta_m_b"":0.0002999999999993008,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":568}]"	NO			CATALOG_ONLY_UNIQUE	1	568	63
138	2000cf	CATALOG_ONLY_UNIQUE	1	569	"[{""CID"":""2000cf"",""IDSURVEY"":62,""covariance_assist_pass"":null,""delta_err_m_b"":4.619693889540422e-06,""delta_m_b"":0.0004999999999988347,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":569}]"	NO			CATALOG_ONLY_UNIQUE	1	569	62
139	2001eh	CATALOG_ONLY_UNIQUE	1	570	"[{""CID"":""2001eh"",""IDSURVEY"":57,""covariance_assist_pass"":null,""delta_err_m_b"":4.98525218647905e-07,""delta_m_b"":0.00030000000000285354,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":570}]"	NO			CATALOG_ONLY_UNIQUE	1	570	57
140	2001eh	CATALOG_ONLY_UNIQUE	1	571	"[{""CID"":""2001eh"",""IDSURVEY"":63,""covariance_assist_pass"":null,""delta_err_m_b"":2.6774413535296526e-06,""delta_m_b"":0.0002999999999993008,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":571}]"	NO			CATALOG_ONLY_UNIQUE	1	571	63
141	ASASSN-16db	CATALOG_ONLY_UNIQUE	1	572	"[{""CID"":""ASASSN-16db"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":2.1407739173584517e-06,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":572}]"	NO			CATALOG_ONLY_UNIQUE	1	572	150
142	AT2016hns	CATALOG_ONLY_UNIQUE	1	573	"[{""CID"":""AT2016hns"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":3.760815521072769e-06,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":573}]"	NO			CATALOG_ONLY_UNIQUE	1	573	150
143	ASASSN-15bc	CATALOG_ONLY_UNIQUE	1	574	"[{""CID"":""ASASSN-15bc"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":5.642015089013519e-07,""delta_m_b"":0.0,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":574}]"	NO			CATALOG_ONLY_UNIQUE	1	574	150
144	2007jg	CATALOG_ONLY_UNIQUE	1	575	"[{""CID"":""2007jg"",""IDSURVEY"":51,""covariance_assist_pass"":null,""delta_err_m_b"":2.6459128316946856e-06,""delta_m_b"":0.00030000000000285354,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":575}]"	NO			CATALOG_ONLY_UNIQUE	1	575	51
145	2007jg	CATALOG_ONLY_UNIQUE	1	576	"[{""CID"":""2007jg"",""IDSURVEY"":5,""covariance_assist_pass"":null,""delta_err_m_b"":3.8073095404156376e-06,""delta_m_b"":0.0004999999999988347,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":576}]"	NO			CATALOG_ONLY_UNIQUE	1	576	5
146	2008gb	CATALOG_ONLY_UNIQUE	1	579	"[{""CID"":""2008gb"",""IDSURVEY"":65,""covariance_assist_pass"":null,""delta_err_m_b"":3.2046749750269665e-06,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":579}]"	NO			CATALOG_ONLY_UNIQUE	1	579	65
147	2007O	CATALOG_ONLY_UNIQUE	1	580	"[{""CID"":""2007O"",""IDSURVEY"":57,""covariance_assist_pass"":null,""delta_err_m_b"":1.45558264594281e-07,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":580}]"	NO			CATALOG_ONLY_UNIQUE	1	580	57
148	2007O	CATALOG_ONLY_UNIQUE	1	581	"[{""CID"":""2007O"",""IDSURVEY"":64,""covariance_assist_pass"":null,""delta_err_m_b"":4.92207463219374e-06,""delta_m_b"":0.00030000000000285354,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":581}]"	NO			CATALOG_ONLY_UNIQUE	1	581	64
149	2008fr	CATALOG_ONLY_UNIQUE	1	582	"[{""CID"":""2008fr"",""IDSURVEY"":65,""covariance_assist_pass"":null,""delta_err_m_b"":3.001556092896429e-06,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":582}]"	NO			CATALOG_ONLY_UNIQUE	1	582	65
150	2009bv	CATALOG_ONLY_UNIQUE	1	585	"[{""CID"":""2009bv"",""IDSURVEY"":65,""covariance_assist_pass"":null,""delta_err_m_b"":1.298182211312282e-06,""delta_m_b"":0.00039999999999906777,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":585}]"	NO			CATALOG_ONLY_UNIQUE	1	585	65
