chain_id	variant	parameter	baseline_mean	baseline_sd	variant_mean	variant_sd	delta_variant_minus_baseline	response_in_baseline_sd	response_in_pooled_width	sd_ratio_variant_over_baseline	independent_significance_claimed
actbase_noab	noab	omega_b	0.0225906395065	0.000167782130246	0.0225867214093	0.000166585681979	-3.91809722263e-06	-0.0233522915514	-0.0165715435385	0.992869036378	False
actbase_noab	noab	omega_c	0.123787061633	0.00213663414353	0.124002838936	0.00213898810076	0.000215777302557	0.100989354312	0.0713709313043	1.00110171282	False
actbase_noab	noab	H0	66.1147090842	0.787480196823	66.1630379353	0.784568759963	0.0483288510445	0.0613715128831	0.043476508218	0.996302844348	False
actbase_noab	noab	Omega_m	0.336601756936	0.0127690455893	0.336592863801	0.012734353802	-8.89313542635e-06	-0.000696460464814	-0.000493141361401	0.997283133881	False
actbase_noab	noab	r_drag	145.876753157	0.563431384665	145.825546432	0.565637213433	-0.0512067252751	-0.0908836935053	-0.0641388019196	1.00391499094	False
actbase_noab	noab	h_rdrag	96.4498469288	1.48419397283	96.4864809633	1.48207629649	0.0366340345945	0.0246827808663	0.0174658175625	0.998573180874	False
actbase_noab	noab	n_s	0.966603034369	0.00765521632171	0.965985056327	0.0075964923991	-0.000617978042337	-0.0807263983625	-0.0573015434952	0.992328900956	False
actbase_noab	noab	tau	0.0562395993837	0.00593613618168	0.0561366827411	0.00603286872737	-0.000102916642594	-0.0173373115851	-0.0121598545359	1.01629554018	False
actbase_noab	noab	sigma8	0.826334275045	0.00742850159527	0.826936439802	0.00733806318712	0.000602164757758	0.0810614024963	0.0576690387134	0.987825484455	False
actbase_noab	noab	logA	3.05344020535	0.0128791632971	3.05276667799	0.0129747943184	-0.000673527356678	-0.0522958938513	-0.0368417485878	1.00742525109	False
actbase_noab	noab	tangent_DESI_sigma	4.24533410472	2.50733124658	4.20256693584	2.50273502786	-0.0427671688745	-0.0170568483653	-0.0120720727995	0.998166888111	False
actbase_noab	noab	normal_DESI_sigma	0.179264790823	0.181253122065	0.205172914133	0.179303839857	0.0259081233096	0.142938907834	0.101618018196	0.989245524789	False
actbase_nobp	nobp	omega_b	0.0225906395065	0.000167782130246	0.0225877917887	0.000166632027867	-2.84771785659e-06	-0.0169727124838	-0.0120427239702	0.993145262981	False
actbase_nobp	nobp	omega_c	0.123787061633	0.00213663414353	0.124034690834	0.00212161470831	0.000247629200907	0.115896865945	0.0822400024505	0.992970516147	False
actbase_nobp	nobp	H0	66.1147090842	0.787480196823	66.0263123195	0.777436017713	-0.0883967647244	-0.112252682774	-0.0798824419581	0.9872451661	False
actbase_nobp	nobp	Omega_m	0.336601756936	0.0127690455893	0.33806017748	0.0126968764313	0.0014584205439	0.114215313408	0.0809909740903	0.99434811651	False
actbase_nobp	nobp	r_drag	145.876753157	0.563431384665	145.816141005	0.560817313705	-0.0606121519283	-0.107576811619	-0.0762449587103	0.995360444889	False
actbase_nobp	nobp	h_rdrag	96.4498469288	1.48419397283	96.2808110049	1.46715173558	-0.169035923815	-0.113890722445	-0.0809965806305	0.988517513498	False
actbase_nobp	nobp	n_s	0.966603034369	0.00765521632171	0.966227769398	0.00749461285575	-0.000375264970955	-0.0490208186398	-0.0350284473201	0.979020388294	False
actbase_nobp	nobp	tau	0.0562395993837	0.00593613618168	0.056244395212	0.00607103551467	4.79582830424e-06	0.000807904023334	0.000564820558937	1.02272510752	False
actbase_nobp	nobp	sigma8	0.826334275045	0.00742850159527	0.826854176077	0.00727230171374	0.000519901031997	0.0699873353098	0.0500115248861	0.978972895203	False
actbase_nobp	nobp	logA	3.05344020535	0.0128791632971	3.0531022356	0.013091829421	-0.000337969747256	-0.0262415919	-0.0184030461143	1.01651241769	False
actbase_nobp	nobp	tangent_DESI_sigma	4.24533410472	2.50733124658	4.53122727658	2.4832026035	0.285893171865	0.114022896757	0.0810152355701	0.9903767629	False
actbase_nobp	nobp	normal_DESI_sigma	0.179264790823	0.181253122065	0.199288106368	0.186033433456	0.0200233155446	0.11047156218	0.0770919759422	1.02637367752	False
actbase_nong	nong	omega_b	0.0225906395065	0.000167782130246	0.0225912695214	0.000164459969873	6.30014844315e-07	0.00375495795285	0.00268157165681	0.980199557791	False
actbase_nong	nong	omega_c	0.123787061633	0.00213663414353	0.123840725639	0.00203446505834	5.36640055617e-05	0.0251161415371	0.0181893558583	0.952182227597	False
actbase_nong	nong	H0	66.1147090842	0.787480196823	66.0982696583	0.743420588388	-0.0164394259092	-0.0208759864382	-0.0151801062329	0.944049883904	False
actbase_nong	nong	Omega_m	0.336601756936	0.0127690455893	0.336867008887	0.0121138024615	0.000265251950871	0.0207730443921	0.015070337279	0.948685034977	False
actbase_nong	nong	r_drag	145.876753157	0.563431384665	145.861970279	0.544278443202	-0.0147828781108	-0.0262372287259	-0.0188704855703	0.966006612368	False
actbase_nong	nong	h_rdrag	96.4498469288	1.48419397283	96.4157402572	1.40754061136	-0.0341066715381	-0.0229799286093	-0.0166741375714	0.948353542139	False
actbase_nong	nong	n_s	0.966603034369	0.00765521632171	0.966478090924	0.007483590141	-0.000124943445445	-0.016321347457	-0.0116710231903	0.977580492373	False
actbase_nong	nong	tau	0.0562395993837	0.00593613618168	0.056118628835	0.00595294373721	-0.000120970548655	-0.0203786680346	-0.0143895087567	1.00283139655	False
actbase_nong	nong	sigma8	0.826334275045	0.00742850159527	0.826448690678	0.00698655686048	0.000114415633382	0.0154022492847	0.0112196665068	0.940506880275	False
actbase_nong	nong	logA	3.05344020535	0.0128791632971	3.05336829247	0.0127769225343	-7.19128798279e-05	-0.00558366084574	-0.00396394692118	0.992061536884	False
actbase_nong	nong	tangent_DESI_sigma	4.24533410472	2.50733124658	4.30120634864	2.37813838848	0.0558722439249	0.0222835510869	0.0161678769397	0.948473956812	False
actbase_nong	nong	normal_DESI_sigma	0.179264790823	0.181253122065	0.180447756686	0.171771328282	0.00118296586239	0.00652659578442	0.00473724485262	0.947687556078	False
