h0dn_row_1based	official_row_1based	CID	IDSURVEY	survey_label	allowed_directories	active_candidate_count	active_candidate_paths	unparseable_active_files_in_allowed_directories	lineage_status	unique_file_sha256	unique_file_git_blob_sha1	unique_file_nobs	unique_file_observation_line_count
54	423	2005na	5	CSP	CSPDR3_anthony;CSP_data2	1	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005na.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	bab6ff1fd417ababc82e596b0769caf68b9fd6e03b0426f00721df8f20932c86	e5a9dc2206bb68ef5d45d1892b197b28a1fca9a0	170	170
55	424	2005na	64	CFA3K	CfA3_DJ20	1	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005na.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	b51f333b277ece6232275ee40f017f882b2ba0d97d0240ad7c4ab863b84fb9ec	01c088ad8ea27b6e2742e60139d91bb2fb6846cc	92	92
56	425	2005na	57	LOSS2	LOSS	0		0	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE				
61	433	2005eq	57	LOSS2	LOSS	0		0	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE				
62	434	2005eq	5	CSP	CSPDR3_anthony;CSP_data2	1	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005eq.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	270ce69fd8868281bc94545003441173362b347db901e32e5a7004a36918a4e0	245305d11c2a2db54644548e8d98204da1365286	211	211
63	435	2005eq	64	CFA3K	CfA3_DJ20	1	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005eq.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	0db54bb1d1af09cdc1e0cdacd99fee966f38c4e0e1f2ef98f8292064bd9f82b5	b1fb313372b6b062a017f91be0fca55ad39bffe2	141	141
64	437	2009ad	65	CFA4p2	PS1_LOWZ_COMBINED_TEXT_DS17	0		0	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE				
65	438	2009ad	5	CSP	CSPDR3_anthony;CSP_data2	1	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2009ad.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	c431957455b416c3f91172d84436db3ce7c2ecb08cff19b1174a809d5cd64a49	3224dd7606ddb830216c2ab3ffcffab9ac8ba271	128	128
66	440	2008ar	57	LOSS2	LOSS	0		0	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE				
67	441	2008ar	5	CSP	CSPDR3_anthony;CSP_data2	1	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008ar.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	fa3ebdc6d6b47ed14ac1cc347bb3a7c45b2acea1d9d2a283c8273d2c9e69ba93	5df51a0ebdce79a305bdf67c2c49396be7eeaf22	132	132
