edge	metric	burn_fraction_per_chain	directed_forward_baryon_share	directed_reverse_baryon_share	directed_baryon_share_spread	directed_baryon_share_mean	symmetric_baryon_share	symmetric_minus_directed_mean	symmetric_within_directed_share_range	directed_forward_classification	directed_reverse_classification	symmetric_classification	directed_pair_agrees	comparison_classification
BASE_TO_FULL_FIXED	PRECISION_MEAN_POOL	0.5	0.5050363197040555	0.8072613505750309	0.3022250308709754	0.6561488351395433	0.7875211626866201	0.13137232754707684	True	ORDER_SENSITIVE	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	False	DIRECTED_DISAGREEMENT_SYMMETRIC_MATCHES_REVERSE
ACT_TO_FULL_FIXED	ARITHMETIC_COVARIANCE_POOL	0.3	0.8561659981597634	0.9883319586728913	0.1321659605131279	0.9222489784163272	0.9480455178134817	0.025796539397154428	True	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	True	DIRECTED_CONSENSUS_PRESERVED
ACT_TO_FULL_FIXED	PRECISION_MEAN_POOL	0.3	0.8561659981597634	0.9883319586728913	0.1321659605131279	0.9222489784163272	0.9760172425331247	0.05376826411679747	True	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	True	DIRECTED_CONSENSUS_PRESERVED
ACT_TO_FULL_FIXED	ARITHMETIC_COVARIANCE_POOL	0.5	0.8635740096161231	0.98878207974495	0.12520807012882695	0.9261780446805365	0.9470308933085914	0.02085284862805481	True	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	True	DIRECTED_CONSENSUS_PRESERVED
ACT_TO_FULL_FIXED	PRECISION_MEAN_POOL	0.5	0.8635740096161231	0.98878207974495	0.12520807012882695	0.9261780446805365	0.9782104705656206	0.052032425885084055	True	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	True	DIRECTED_CONSENSUS_PRESERVED
PR4_TO_FULL_FIXED	ARITHMETIC_COVARIANCE_POOL	0.3	0.9869957228366903	0.9865805868763634	0.00041513596032694	0.9867881548565269	0.9875384926062306	0.0007503377497036778	False	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	True	DIRECTED_CONSENSUS_PRESERVED
PR4_TO_FULL_FIXED	PRECISION_MEAN_POOL	0.3	0.9869957228366903	0.9865805868763634	0.00041513596032694	0.9867881548565269	0.9875322389068089	0.0007440840502819235	False	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	True	DIRECTED_CONSENSUS_PRESERVED
PR4_TO_FULL_FIXED	ARITHMETIC_COVARIANCE_POOL	0.5	0.9801378811001795	0.9807092405942466	0.0005713594940670585	0.980423560847213	0.980832463610576	0.0004089027633629172	False	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	True	DIRECTED_CONSENSUS_PRESERVED
PR4_TO_FULL_FIXED	PRECISION_MEAN_POOL	0.5	0.9801378811001795	0.9807092405942466	0.0005713594940670585	0.980423560847213	0.9810921227835716	0.0006685619363585582	False	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	True	DIRECTED_CONSENSUS_PRESERVED
ORIGINAL_TO_FIXED_RELEASE	ARITHMETIC_COVARIANCE_POOL	0.3	0.2775641772408498	0.39365719052012343	0.11609301327927363	0.33561068388048665	0.36076588229851403	0.02515519841802738	True	TAU_AMPLITUDE_DOMINANT	TAU_AMPLITUDE_DOMINANT	TAU_AMPLITUDE_DOMINANT	True	DIRECTED_CONSENSUS_PRESERVED
ORIGINAL_TO_FIXED_RELEASE	PRECISION_MEAN_POOL	0.3	0.2775641772408498	0.39365719052012343	0.11609301327927363	0.33561068388048665	0.32667774401560157	-0.008932939864885081	True	TAU_AMPLITUDE_DOMINANT	TAU_AMPLITUDE_DOMINANT	TAU_AMPLITUDE_DOMINANT	True	DIRECTED_CONSENSUS_PRESERVED
ORIGINAL_TO_FIXED_RELEASE	ARITHMETIC_COVARIANCE_POOL	0.5	0.2909778775948465	0.40430645142348454	0.11332857382863804	0.3476421645091655	0.3740961322084795	0.026453967699313963	True	TAU_AMPLITUDE_DOMINANT	MIXED_BLOCK	TAU_AMPLITUDE_DOMINANT	False	DIRECTED_DISAGREEMENT_SYMMETRIC_MATCHES_FORWARD
ORIGINAL_TO_FIXED_RELEASE	PRECISION_MEAN_POOL	0.5	0.2909778775948465	0.40430645142348454	0.11332857382863804	0.3476421645091655	0.3394090386815159	-0.008233125827649623	True	TAU_AMPLITUDE_DOMINANT	MIXED_BLOCK	TAU_AMPLITUDE_DOMINANT	False	DIRECTED_DISAGREEMENT_SYMMETRIC_MATCHES_FORWARD
