parameter	mean	sigma	q16	median	q84
Omega_m	0.2979854829517272	0.00851802802147148	0.2895583117006322	0.29785269581782736	0.30642819818231865
H0_km_s_Mpc	67.51363797849073	0.947663722494648	66.56256365854391	67.53996910206104	68.45469144505302
omega_b_h2	0.02153134391530321	0.000545310229773081	0.020998038343202397	0.021532615983002205	0.02207111939540329
N_eff	2.9628718815110897	0.1420092271132367	2.8190483794768224	2.9634179860319696	3.104211213410687
r_drag_Mpc	150.02801629852337	2.2443977304482283	147.82263486276895	149.9511967955418	152.2571685121232
H0_r_drag_km_s	10127.057078199101	71.24478821019513	10055.386547555563	10128.65009814359	10198.785581625243
