component_id	family	label	is_aggregate	removed_row_count	removed_trace	removed_frobenius_norm	interpretation	solver_status	interpretation_status	rank_change_from_baseline	zero_diagonal_count	zero_precision_row_count	discarded_equation_indices	matched_leave_one_block_out_id	matched_leave_one_block_out_delta_h0	matched_leave_one_block_out_baseline_delta_h0	matched_leave_one_block_out_delta_h0_error	matched_leave_one_block_out_parameter_max_absolute_difference	matched_leave_one_block_out_match_status	covariance_model_status	zero_diagonal_atol	zero_precision_row_l2_atol	policy	nrows	npars	atol	rtol	covar_rank	covar_nullity	normal_rank	normal_nullity	covar_min_eigenvalue	covar_max_eigenvalue	covar_materially_indefinite	status	message	logh0_value	logh0_variance	h0_value	h0_error	chi2	ndof	reduced_chi2	normal_condition_number	mzero_value	mzero_error	delta_h0	absolute_delta_h0	delta_h0_in_baseline_sigma	delta_sigma_h0	absolute_delta_sigma_h0
mas:06:trgb_jwst_N4258_A25	mas	MAS trgb_jwst&N4258&A25	0	8	0.020000000000000004	0.020000000000000004	Rank-one covariance from the encoded method-anchor-source reference.	OK	PSD_ALGEBRAIC_SENSITIVITY	0	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	183	72	64	0	-2.4825641080665747e-17	0.1908194517077929	0	OK		1.86748505992293	1.9016097603797466e-05	73.70298204872964	0.7437785414540059	117.96592174227465	119	0.9913102667418038	9120.015843968715	-19.246974159254176	0.02111785506141264	0.20422840512301832	0.20422840512301832	0.2525079113810731	-0.06502148388383944	0.06502148388383944
mas:07:trgb_jwst_N4258_CCHP	mas	MAS trgb_jwst&N4258&CCHP	0	10	0.01225	0.01225	Rank-one covariance from the encoded method-anchor-source reference.	OK	PSD_ALGEBRAIC_SENSITIVITY	0	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	183	72	64	0	-3.4248736922295066e-17	0.19082272825064472	0	OK		1.8659601636088796	2.2460716565010614e-05	73.4446496728242	0.8058597186505949	118.34529474735281	119	0.9944982751878387	10034.29228087243	-19.25357684894179	0.022359231402231	-0.05410397078242113	0.05410397078242113	-0.06689412597362526	-0.002940306687250427	0.002940306687250427
mas:08:trgb_jwst_N4258_SH0ES	mas	MAS trgb_jwst&N4258&SH0ES	0	8	0.020000000000000004	0.020000000000000004	Rank-one covariance from the encoded method-anchor-source reference.	OK	PSD_ALGEBRAIC_SENSITIVITY	0	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	183	72	64	0	-3.2429045199667736e-17	0.19081861721170534	0	OK		1.8661727295112174	2.24568640260545e-05	73.4806060345022	0.8061847174434575	117.64548650417015	119	0.9886175336484887	10065.035988935628	-19.2524069133322	0.022358012881124444	-0.018147609104417484	0.018147609104417484	-0.022437696013717374	-0.002615307894387797	0.002615307894387797
hms:000:M101_ceph_hst_R22	hms	HMS M101&ceph_hst&R22	0	3	0.0	0.006123724356957946	Off-diagonal-only covariance exactly matching equations.py.	OK	PSD_ALGEBRAIC_SENSITIVITY	2	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	185	70	64	0	-3.7810945658529116e-17	0.19083277022545958	0	OK		1.8657930553529658	2.244033088176015e-05	73.4163950049	0.8051820535305438	119.24774050157174	121	0.9855185165419152	10042.615730007592	-19.25429233908031	0.022360241577724118	-0.08235863870662286	0.08235863870662286	-0.1018281851218052	-0.003617971807301501	0.003617971807301501
hms:004:M1337_ceph_hst_R22	hms	HMS M1337&ceph_hst&R22	0	3	0.0	0.037663354285034145	Off-diagonal-only covariance exactly matching equations.py.	OK	PSD_ALGEBRAIC_SENSITIVITY	2	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	185	70	64	0	-3.748578681234885e-17	0.19083024602994436	0	OK		1.8660169103571196	2.250210384274693e-05	73.45424688742781	0.8067112980724005	118.16079004661822	121	0.976535454930729	10058.562926038605	-19.253150338221978	0.02239384952446262	-0.04450675617880506	0.04450675617880506	-0.055028134006566164	-0.002088727265444845	0.002088727265444845
hms:007:N0105_ceph_hst_R22	hms	HMS N0105&ceph_hst&R22	0	3	0.0	0.154320303285083	Off-diagonal-only covariance exactly matching equations.py.	OK	PSD_ALGEBRAIC_SENSITIVITY	2	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	185	70	64	0	-1.9733488905860925e-17	0.13765686454711104	0	OK		1.8662759295225637	2.2539984067963942e-05	73.49806907110437	0.8078754256548137	117.57681467029089	121	0.9717092121511643	10015.079398420174	-19.251846665289683	0.02241635628786998	-0.0006845725022515126	0.0006845725022515126	-0.0008464051444181873	-0.0009245996830316017	0.0009245996830316017
hms:008:N0691_ceph_hst_R22	hms	HMS N0691&ceph_hst&R22	0	3	0.0	0.03072639933347219	Off-diagonal-only covariance exactly matching equations.py.	OK	PSD_ALGEBRAIC_SENSITIVITY	2	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	185	70	64	0	-5.627898548894127e-17	0.1908309798394628	0	OK		1.86631586786753	2.2548608190621686e-05	73.50482837000126	0.8081051207449264	117.58504329531239	121	0.9717772173166314	10072.51493261733	-19.251640843754117	0.022421477204867726	0.006074726394643903	0.006074726394643903	0.0075107890755893815	-0.0006949045929189879	0.0006949045929189879
hms:009:N0976_ceph_hst_R22	hms	HMS N0976&ceph_hst&R22	0	3	0.0	0.056593011017262544	Off-diagonal-only covariance exactly matching equations.py.	OK	PSD_ALGEBRAIC_SENSITIVITY	2	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	185	70	64	0	-2.5162892033977066e-17	0.19082744213481184	0	OK		1.8659859839458637	2.249683370749801e-05	73.44901634580113	0.8065588696003374	118.5963377031094	121	0.9801350223397471	10052.209321431365	-19.253343001732325	0.022390716449233662	-0.04973729780549263	0.04973729780549263	-0.06149517340175252	-0.0022411557375079383	0.0022411557375079383
hms:010:N1015_ceph_hst_R22	hms	HMS N1015&ceph_hst&R22	0	3	0.0	0.014902695595092856	Off-diagonal-only covariance exactly matching equations.py.	OK	PSD_ALGEBRAIC_SENSITIVITY	2	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	185	70	64	0	-2.1041693391124327e-17	0.19083225088547062	0	OK		1.8661158393472395	2.2496567641228526e-05	73.470981113825	0.8067952722114455	118.8090157381229	121	0.9818926920506025	10072.764324988631	-19.2526426837725	0.022390558262229764	-0.027772529781614708	0.027772529781614708	-0.03433794375811721	-0.0020047531263998053	0.0020047531263998053
hms:011:N1309_ceph_hst_R22	hms	HMS N1309&ceph_hst&R22	0	3	0.0	0.010033109986439897	Off-diagonal-only covariance exactly matching equations.py.	OK	PSD_ALGEBRAIC_SENSITIVITY	2	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	185	70	64	0	-2.968000371993334e-17	0.19083255273749886	0	OK		1.8660581386183486	2.2464647375140664e-05	73.46122034611716	0.8061124521469054	118.030463552784	121	0.9754583764692892	10062.418072353175	-19.25296427264584	0.022372338168549673	-0.03753329748946044	0.03753329748946044	-0.04640615271220143	-0.002687573190939929	0.002687573190939929
