quantity	actual	expected	tolerance	absolute_difference	status
neq	255	255	0	0	PASS
npars	64	64	0	0	PASS
covar_rank	183	183	0	0	PASS
ndof	119	119	0	0	PASS
h0_value	73.49875364360662	73.4988	5e-05	4.635639338346209e-05	PASS
h0_error	0.8088000253378453	0.8088	5e-05	2.5337845377393364e-08	PASS
chi2	117.55968168211207	117.5597	5e-05	1.8317887935381805e-05	PASS
mzero_value	-19.251823407377074	-19.252	0.0005	0.00017659262292468725	PASS
mzero_error	0.022446576710565474	0.022	0.0005	0.0004465767105654751	PASS
