tau	original_reml_deviance	transformed_reml_deviance	original_reml_delta	transformed_reml_delta	reml_centered_deviance_difference	original_ml_deviance	transformed_ml_deviance	original_ml_delta	transformed_ml_delta	ml_centered_deviance_difference	original_h0_value	transformed_h0_value	h0_difference	original_h0_error	transformed_h0_error	h0_error_difference	original_chi2	transformed_chi2	original_covariance_min_eigenvalue	original_covariance_rank_at_public_cutoff
1e-05	356260127.53686506	356261372.25804526	356260974.6984159	356260985.7633992	-11.064983308315277	356259722.0352001	356260966.7563804	356260974.4015273	356260985.46651065	-11.064983367919922	73.49875364213698	73.4987536437239	-1.5869261460466078e-09	0.808800025959286	0.8088000259767512	-1.7465140444983263e-11	356262274.0960666	356262285.16105026	9.99999606518412e-11	216
1.0665519346950174e-05	313186394.4491433	313187629.0050838	313187241.6106941	313187242.5104377	-0.8997436165809631	313185988.9474784	313187223.5034189	313187241.3138056	313187242.2135492	-0.8997436165809631	73.49875364438347	73.4987536463992	-2.015724476223113e-09	0.8088000260717365	0.8088000260939339	-2.219735506514553e-11	313188531.73028827	313188532.6300312	1.137532639312878e-10	255
1.1375330294016848e-05	275320471.3015046	275321701.781307	275321318.46305543	275321315.2866609	3.176394522190094	275320065.79983974	275321296.27964205	275321318.1661669	275321314.9897723	3.1763945817947388	73.4987536442993	73.49875363982835	4.470948056223278e-09	0.8088000261705446	0.8088000261213466	4.919797902402934e-11	275322599.3045919	275322596.12819695	1.293981092882019e-10	255
1.2132380532878511e-05	242032707.87959236	242033942.2271061	242033555.0411432	242033555.73246005	-0.6913168430328369	242032302.37792748	242033536.72544122	242033554.74425462	242033555.43557146	-0.6913168430328369	73.49875364848674	73.49875363955171	8.935032269619114e-09	0.8088000263301041	0.8088000262317792	9.832490377448266e-11	242034826.604622	242034827.29593837	1.4719462501231895e-10	255
1.2939813929797744e-05	212769594.4384188	212770829.325938	212770441.59996966	212770442.83129194	-1.2313222885131836	212769188.93675393	212770423.8242731	212770441.30308107	212770442.53440335	-1.2313222885131836	73.49875363905296	73.49875364017261	-1.1196448213013355e-09	0.8088000263553852	0.808800026367706	-1.2320811038080137e-11	212771703.88539112	212771705.1167129	1.6743873267253748e-10	255
1.3800983581419321e-05	187044530.02017736	187045767.48575607	187045377.1817282	187045380.99111003	-3.809381812810898	187044124.51851252	187045361.98409122	187045376.88483965	187045380.69422147	-3.809381812810898	73.49875364083083	73.49875364552472	-4.6938879449953674e-09	0.8088000265217943	0.8088000265734507	-5.1656456889759284e-11	187046630.18909207	187046633.9984739	1.9046712034624215e-10	255
1.4719465739456949e-05	164429750.90000954	164430982.53275046	164430598.0615604	164430596.03810441	2.0234559774398804	164429345.3983447	164430577.03108564	164430597.76467183	164430595.74121588	2.023455947637558	73.4987536437266	73.4987536406707	3.055902197957039e-09	0.8088000267206752	0.8088000266870523	3.362288225616794e-11	164431841.79086685	164431839.76741078	2.1666262345942477e-10	255
1.5699074662094835e-05	144549198.59601304	144550434.0194829	144550045.7575639	144550047.52483687	-1.7672729790210724	144548793.09434822	144550028.5178181	144550045.46067536	144550047.22794834	-1.7672729790210724	73.49875364183454	73.49875364147792	3.566213990779943e-10	0.8088000268898412	0.808800026885919	3.922195901395753e-12	144551280.20881295	144551281.97608566	2.464609175336143e-10	255
1.6743878453778773e-05	127072300.20628442	127073533.3899169	127073147.36783527	127073146.89527085	0.4725644141435623	127071894.70461963	127073127.8882521	127073147.07094678	127073146.59838235	0.4725644290447235	73.49875363876922	73.49875364154259	-2.773376195364108e-09	0.8088000270722375	0.8088000271027624	-3.0524915928253904e-11	127074372.54102665	127074372.06846234	2.8035742050181097e-10	255
1.7858215959175968e-05	111708441.24675277	111709675.68286003	111709288.40830362	111709289.18821399	-0.7799103707075119	111708035.745088	111709270.18119526	111709288.11141515	111709288.89132552	-0.7799103707075119	73.49875363886139	73.49875364187355	-3.012161187143647e-09	0.8088000273191085	0.8088000273522482	-3.313971319585107e-11	111710504.3034375	111710505.08334786	3.1891583309366496e-10	255
