representation_family	case_index	case_digest	policy	nrows	npars	atol	rtol	covar_rank	covar_nullity	normal_rank	normal_nullity	covar_min_eigenvalue	covar_max_eigenvalue	covar_materially_indefinite	status	message	logh0_value	logh0_variance	h0_value	h0_error	chi2	ndof	reduced_chi2	normal_condition_number	mzero_value	mzero_error	delta_h0	absolute_delta_h0	delta_h0_in_baseline_sigma	delta_sigma_h0	absolute_delta_sigma_h0	invariance_status
diagonal_row_standardization	0		official_after_diagonal_row_standardization	255	64	1e-10	0.0	183	72	64	0	-2.3835759626930164e-15	18.597119037063372	0	OK		1.86596997086086	2.2590906690949716e-05	73.44630822099562	0.8082229018216793	117.47318861642411	119	0.9871696522388581	10114.182556513375	-19.253372649288558	0.022446576710565522	-0.052445422611000936	0.052445422611000936	-0.06484349773492386	-0.0005771235161660115	0.0005771235161660115	FAIL
simultaneous_row_column_permutation	0	ab5ef6171263592d25d1ea6eef8cf933343d27b10d3323118d67276f1c05e3f3	official_after_simultaneous_permutation	255	64	1e-10	0.0	183	72	64	0	-3.891232683128492e-17	0.19083307124362714	0	OK		1.8662799745904213	2.259090669094962e-05	73.49875364360932	0.808800025337888	117.55968168211243	119	0.9878964847236338	10114.182556512977	-19.251823407376996	0.022446576710565432	2.7000623958883807e-12	2.7000623958883807e-12	3.338355973419428e-12	4.263256414560601e-14	4.263256414560601e-14	PASS
simultaneous_row_column_permutation	1	ee714445ae0774684a829a2bab4ae5954847baa703bd723ac4604abb38b2529f	official_after_simultaneous_permutation	255	64	1e-10	0.0	183	72	64	0	-1.8533292644160905e-17	0.19083307124362697	0	OK		1.8662799745904035	2.2590906690949458e-05	73.49875364360632	0.8088000253378453	117.559681682112	119	0.9878964847236302	10114.182556513535	-19.25182340737706	0.022446576710565436	-2.984279490192421e-13	2.984279490192421e-13	-3.689761865358315e-13	0.0	0.0	PASS
simultaneous_row_column_permutation	2	a5787da014eb6a5a19f59cf45545e2fcad984583276974922bfb089d789ac1b2	official_after_simultaneous_permutation	255	64	1e-10	0.0	183	72	64	0	-4.5102810375396984e-17	0.19083307124362692	0	OK		1.866279974590122	2.2590906690949834e-05	73.49875364355867	0.8088000253373622	117.55968168213656	119	0.9878964847238366	10114.182556512762	-19.251823407377245	0.02244657671056546	-4.794742380909156e-11	4.794742380909156e-11	-5.928217397009026e-11	-4.831690603168681e-13	4.831690603168681e-13	PASS
simultaneous_row_column_permutation	3	db63f1317c6712f905b783f53dad04ef350a26808003ed3cc64370f113dc38ac	official_after_simultaneous_permutation	255	64	1e-10	0.0	183	72	64	0	-2.4266105931244357e-17	0.19083307124362708	0	OK		1.8662799745903973	2.259090669094966e-05	73.49875364360527	0.8088000253378311	117.55968168211211	119	0.9878964847236312	10114.18255651326	-19.25182340737709	0.022446576710565495	-1.3500311979441904e-12	1.3500311979441904e-12	-1.669177986709714e-12	-1.4210854715202004e-14	1.4210854715202004e-14	PASS
simultaneous_row_column_permutation	4	46e95c1bc855209f2ad21d88a5ad3c5ebc0ab1ba08e993858ef7d008af58dd52	official_after_simultaneous_permutation	255	64	1e-10	0.0	183	72	64	0	-4.0377878917068404e-17	0.19083307124362708	0	OK		1.8662799745904133	2.2590906690949597e-05	73.49875364360797	0.8088000253378738	117.5596816821116	119	0.9878964847236269	10114.182556513886	-19.251823407376826	0.022446576710565463	1.3500311979441904e-12	1.3500311979441904e-12	1.669177986709714e-12	2.842170943040401e-14	2.842170943040401e-14	PASS
simultaneous_row_column_permutation	5	8dfa705b0fa379899b3035ddcf4159a1e1c9328fbe1b1a0622237caa9d6fa4d9	official_after_simultaneous_permutation	255	64	1e-10	0.0	183	72	64	0	-2.5340942881983453e-17	0.1908330712436272	0	OK		1.8662799745904257	2.2590906690949506e-05	73.49875364361007	0.808800025337888	117.55968168211109	119	0.9878964847236226	10114.18255651294	-19.251823407377003	0.022446576710565415	3.453237695794087e-12	3.453237695794087e-12	4.269581587057479e-12	4.263256414560601e-14	4.263256414560601e-14	PASS
simultaneous_row_column_permutation	6	5f3c4f4249a5da38726b2e65ddc646d4ef767ca4441cc05651fa6d50295f5d4f	official_after_simultaneous_permutation	255	64	1e-10	0.0	183	72	64	0	-4.071877354615129e-17	0.19083307124362708	0	OK		1.8662799745903973	2.25909066909496e-05	73.49875364360527	0.8088000253378311	117.55968168211227	119	0.9878964847236326	10114.182556513293	-19.251823407377067	0.02244657671056546	-1.3500311979441904e-12	1.3500311979441904e-12	-1.669177986709714e-12	-1.4210854715202004e-14	1.4210854715202004e-14	PASS
simultaneous_row_column_permutation	7	d1853e0b3d7514d22a38ef06784b1fa64f667c9d4c4c8cd346e6c8cd2a9579e7	official_after_simultaneous_permutation	255	64	1e-10	0.0	183	72	64	0	-4.859313360588838e-17	0.1908330712436272	0	OK		1.8662799745904337	2.2590906690950014e-05	73.49875364361142	0.8088000253379448	117.559681682109	119	0.987896484723605	10114.182556511865	-19.251823407377046	0.022446576710565463	4.803268893738277e-12	4.803268893738277e-12	5.938759573767193e-12	9.947598300641403e-14	9.947598300641403e-14	PASS
simultaneous_row_column_permutation	8	3662aa18f14b68e2b9c95cfa2b18fc1c3749299cb53883772d75c640485d32c6	official_after_simultaneous_permutation	255	64	1e-10	0.0	183	72	64	0	-2.4983289718824792e-17	0.1908330712436271	0	OK		1.8662799745903795	2.2590906690949753e-05	73.49875364360226	0.8088000253378453	117.5596816821106	119	0.9878964847236185	10114.182556512626	-19.251823407377486	0.022446576710565467	-4.362732397567015e-12	4.362732397567015e-12	-5.394080441261918e-12	0.0	0.0	PASS
