sensitivity_family	policy	nrows	npars	atol	rtol	covar_rank	covar_nullity	normal_rank	normal_nullity	covar_min_eigenvalue	covar_max_eigenvalue	covar_materially_indefinite	status	message	logh0_value	logh0_variance	h0_value	h0_error	chi2	ndof	reduced_chi2	normal_condition_number	mzero_value	mzero_error	delta_h0	absolute_delta_h0	delta_h0_in_baseline_sigma	delta_sigma_h0	absolute_delta_sigma_h0
pseudoinverse_cutoff	official	255	64	1e-10	0.0	183	72	64	0	-2.7006434517013595e-17	0.19083307124362708	0	OK		1.8662799745904053	2.2590906690949617e-05	73.49875364360662	0.8088000253378453	117.55968168211204	119	0.9878964847236306	10114.182556513346	-19.251823407377067	0.022446576710565474	0.0	0.0	0.0	0.0	0.0
pseudoinverse_cutoff	absolute_atol_1e-14	255	64	1e-14	0.0	183	72	64	0	-2.7006434517013595e-17	0.19083307124362708	0	OK		1.8662799745904053	2.2590906690949617e-05	73.49875364360662	0.8088000253378453	117.55968168211204	119	0.9878964847236306	10114.182556513346	-19.251823407377067	0.022446576710565474	0.0	0.0	0.0	0.0	0.0
pseudoinverse_cutoff	absolute_atol_1e-13	255	64	1e-13	0.0	183	72	64	0	-2.7006434517013595e-17	0.19083307124362708	0	OK		1.8662799745904053	2.2590906690949617e-05	73.49875364360662	0.8088000253378453	117.55968168211204	119	0.9878964847236306	10114.182556513346	-19.251823407377067	0.022446576710565474	0.0	0.0	0.0	0.0	0.0
pseudoinverse_cutoff	absolute_atol_1e-12	255	64	1e-12	0.0	183	72	64	0	-2.7006434517013595e-17	0.19083307124362708	0	OK		1.8662799745904053	2.2590906690949617e-05	73.49875364360662	0.8088000253378453	117.55968168211204	119	0.9878964847236306	10114.182556513346	-19.251823407377067	0.022446576710565474	0.0	0.0	0.0	0.0	0.0
pseudoinverse_cutoff	absolute_atol_1e-11	255	64	1e-11	0.0	183	72	64	0	-2.7006434517013595e-17	0.19083307124362708	0	OK		1.8662799745904053	2.2590906690949617e-05	73.49875364360662	0.8088000253378453	117.55968168211204	119	0.9878964847236306	10114.182556513346	-19.251823407377067	0.022446576710565474	0.0	0.0	0.0	0.0	0.0
pseudoinverse_cutoff	absolute_atol_1e-10	255	64	1e-10	0.0	183	72	64	0	-2.7006434517013595e-17	0.19083307124362708	0	OK		1.8662799745904053	2.2590906690949617e-05	73.49875364360662	0.8088000253378453	117.55968168211204	119	0.9878964847236306	10114.182556513346	-19.251823407377067	0.022446576710565474	0.0	0.0	0.0	0.0	0.0
pseudoinverse_cutoff	absolute_atol_1e-9	255	64	1e-09	0.0	183	72	64	0	-2.7006434517013595e-17	0.19083307124362708	0	OK		1.8662799745904053	2.2590906690949617e-05	73.49875364360662	0.8088000253378453	117.55968168211204	119	0.9878964847236306	10114.182556513346	-19.251823407377067	0.022446576710565474	0.0	0.0	0.0	0.0	0.0
pseudoinverse_cutoff	absolute_atol_1e-8	255	64	1e-08	0.0	183	72	64	0	-2.7006434517013595e-17	0.19083307124362708	0	OK		1.8662799745904053	2.2590906690949617e-05	73.49875364360662	0.8088000253378453	117.55968168211204	119	0.9878964847236306	10114.182556513346	-19.251823407377067	0.022446576710565474	0.0	0.0	0.0	0.0	0.0
pseudoinverse_cutoff	absolute_atol_1e-7	255	64	1e-07	0.0	183	72	64	0	-2.7006434517013595e-17	0.19083307124362708	0	OK		1.8662799745904053	2.2590906690949617e-05	73.49875364360662	0.8088000253378453	117.55968168211204	119	0.9878964847236306	10114.182556513346	-19.251823407377067	0.022446576710565474	0.0	0.0	0.0	0.0	0.0
pseudoinverse_cutoff	absolute_atol_1e-6	255	64	1e-06	0.0	183	72	64	0	-2.7006434517013595e-17	0.19083307124362708	0	OK		1.8662799745904053	2.2590906690949617e-05	73.49875364360662	0.8088000253378453	117.55968168211204	119	0.9878964847236306	10114.182556513346	-19.251823407377067	0.022446576710565474	0.0	0.0	0.0	0.0	0.0
pseudoinverse_cutoff	relative_shape_times_eps	255	64	0.0	5.6621374255882984e-14	183	72	64	0	-2.7006434517013595e-17	0.19083307124362708	0	OK		1.8662799745904053	2.2590906690949617e-05	73.49875364360662	0.8088000253378453	117.55968168211204	119	0.9878964847236306	10114.182556513346	-19.251823407377067	0.022446576710565474	0.0	0.0	0.0	0.0	0.0
