stage	historical_classification	replay_classification	substantive_tsv_count	max_abs_numeric_difference	text_difference_count	comparison_status	failures
HTS59	PASS_TN2D_SUFFICIENCY_AND_CONDITIONAL_4D_RESIDUAL_AUDIT	PASS_TN2D_SUFFICIENCY_AND_CONDITIONAL_4D_RESIDUAL_AUDIT	6	5.3589133131026756e-11	0	PASS	
HTS60	PASS_CONDITIONAL_4D_EIGENMODE_LOCALIZATION_AUDIT	PASS_CONDITIONAL_4D_EIGENMODE_LOCALIZATION_AUDIT	7	2.9821478619851405e-11	0	PASS	
HTS61	PASS_CONDITIONAL_EIGENMODE_IDENTIFIABILITY_AND_SUBSPACE_STABILITY_AUDIT	PASS_CONDITIONAL_EIGENMODE_IDENTIFIABILITY_AND_SUBSPACE_STABILITY_AUDIT	12	7.71573789999343e-09	0	PASS	
HTS62	PASS_FIXED_BLOCK_SHAPLEY_AND_ORDER_SENSITIVITY_AUDIT	PASS_FIXED_BLOCK_SHAPLEY_AND_ORDER_SENSITIVITY_AUDIT	6	3.0112801141513046e-11	0	PASS	
HTS63	PASS_EXACT_VARIABLE_SHAPLEY_AND_OWEN_COALITION_AUDIT	PASS_EXACT_VARIABLE_SHAPLEY_AND_OWEN_COALITION_AUDIT	6	2.8990143619012088e-11	0	PASS	
HTS64	PASS_WITHIN_BLOCK_REPARAMETERIZATION_INVARIANCE_AUDIT	PASS_WITHIN_BLOCK_REPARAMETERIZATION_INVARIANCE_AUDIT	7	2.9885427466069814e-11	0	PASS	
HTS65	PASS_EXHAUSTIVE_COALITION_PARTITION_SENSITIVITY_AUDIT	PASS_EXHAUSTIVE_COALITION_PARTITION_SENSITIVITY_AUDIT	9	2.9686475500056986e-11	0	PASS	
