SOURCE	OFFICIAL_URL	FINAL_URL	EXPECTED_BYTES	OBSERVED_BYTES	EXPECTED_SHA256	OBSERVED_SHA256	EXPECTED_ETAG	OBSERVED_ETAG	ACQUISITION_MODE	STATUS
ORIGINAL	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	6194573499	6194573499	NOT_MATERIALIZED_RANGE_ACCESS		"""17139b0bb-64e54728c7b"""	"""17139b0bb-64e54728c7c2b"""	OFFICIAL_HTTP_RANGE_AND_SELECTED_MEMBER_SHA256	NOT_RUN
FIXED	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/CMB_SPA_DESI_Fixed.zip	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/CMB_SPA_DESI_Fixed.zip	828322572	828322572	47c7e6ebe8df320cc4b9c81b180bd10025f194cab588e71ea71a515d7d2236a0	47c7e6ebe8df320cc4b9c81b180bd10025f194cab588e71ea71a515d7d2236a0		"""315f330c-64fa88b808e46"""	OFFICIAL_FULL_ARCHIVE_SHA256	PASS
