offset_sigma	trial_alpha	full_chi2	full_delta_chi2	scalar_delta_chi2	identity_residual	absolute_identity_residual	tolerance	status
-8.0	0.7012422879820169	270.7606364373249	64.00000000000077	64.00000000000041	3.552713678800501e-13	3.552713678800501e-13	2e-10	PASS
-4.0	0.7088128545387395	222.76063643732437	16.000000000000256	16.000000000000103	1.5276668818842154e-13	1.5276668818842154e-13	2e-10	PASS
-2.0	0.7125981378171009	210.76063643732414	4.000000000000028	3.9999999999999085	1.199040866595169e-13	1.199040866595169e-13	2e-10	PASS
-1.0	0.7144907794562815	207.76063643732414	1.0000000000000284	1.0000000000000357	-7.327471962526033e-15	7.327471962526033e-15	2e-10	PASS
-0.5	0.7154371002758718	207.01063643732417	0.25000000000005684	0.25000000000000894	4.7906123512575505e-14	4.7906123512575505e-14	2e-10	PASS
0.0	0.7163834210954622	206.7606364373241	0.0	0.0	0.0	0.0	2e-10	PASS
0.5	0.7173297419150525	207.01063643732414	0.2500000000000284	0.25000000000000894	1.9484414082171497e-14	1.9484414082171497e-14	2e-10	PASS
1.0	0.7182760627346428	207.76063643732414	1.0000000000000284	1.0000000000000357	-7.327471962526033e-15	7.327471962526033e-15	2e-10	PASS
2.0	0.7201687043738234	210.76063643732397	3.999999999999858	3.9999999999999085	-5.062616992290714e-14	5.062616992290714e-14	2e-10	PASS
4.0	0.7239539876521848	222.76063643732408	15.999999999999972	16.000000000000103	-1.3145040611561853e-13	1.3145040611561853e-13	2e-10	PASS
8.0	0.7315245542089074	270.76063643732425	64.00000000000014	64.00000000000041	-2.7000623958883807e-13	2.7000623958883807e-13	2e-10	PASS
