IDSURVEY	official_label	eligible_row_count	anchor_row_count	hubble_flow_anchor_row_count	anchor_fraction	distinct_source_directory_count	inferred_source_directory	inferred_SURVEY_headers	support_status
51	LOSS1	22	19	6	19/22	1	LOSS	KAIT	TARGET_EXCLUDED_PUBLIC_INTERNAL_CROSSWALK_SUPPORTED
57	LOSS2	39	31	8	31/39	1	KAIT_DS15	KAITM	TARGET_EXCLUDED_PUBLIC_INTERNAL_CROSSWALK_SUPPORTED
65	CFA4p2	13	12	8	12/13	1	PS1_LOWZ_COMBINED_TEXT_DS17	PS1_LOWZ_COMBINED(CFA4p1)	TARGET_EXCLUDED_PUBLIC_INTERNAL_CROSSWALK_SUPPORTED
