h0dn_row_1based	official_row_1based	CID	IDSURVEY	source_directory	SURVEY	path	git_blob_sha1	bytes	sha256	NOBS	observation_line_count
136	562	2008hj	65	PS1_LOWZ_COMBINED_TEXT_DS17	PS1_LOWZ_COMBINED(CFA4p1)	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008hj.dat	83694c046aac050a5b3e6a2163b251c5edf4a9f5	1836	6cdc0d9c7143c4b1200f05ac67f8495f1e97e190717e3a77093741eccbe79813	16	16
139	570	2001eh	57	KAIT_DS15	KAITM	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2001eh.dat	a4f64a002eebe4eaf6aab065f01526ffce15c27f	6651	6031f5d66ae3d96813e40f6859954fb20378b377fb865190028450205fa96110	116	116
144	575	2007jg	51	LOSS	KAIT	Pantheon+_Data/1_DATA/photometry/LOSS/2007jg.dat	bd79fe8cd803b74695337afb45144a4a86743273	3805	c6ddb2607f3046aaf407175e44b5031e4f9abc464e934532c8c1105abc9e3320	69	69
147	580	2007O	57	KAIT_DS15	KAITM	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2007O.dat	7c9404d8fa9f3e0d371774d84bf4711929d5b27f	2271	0f1bd4f2303fc52ce27c4a7050b64c01dc6e45cf0c8938f315c49dfd8ee829bf	34	34
155	593	2003fa	57	KAIT_DS15	KAITM	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2003fa.dat	575d235da3a9d3c600c0a506414bd1793939c91f	8404	f059869260875230ad311c0d996e4a979678f520b89cf911885f24634de1b0f2	150	150
163	605	2007kk	51	LOSS	KAIT	Pantheon+_Data/1_DATA/photometry/LOSS/2007kk.dat	d7466bd3efa6bf78e476ba3d0839bbf67bd464fe	4576	0f7fb8dd02c00e6edc4405dbb63fbd88af750ea9539557d7604efdc02e0b2423	85	85
164	606	2007kk	65	PS1_LOWZ_COMBINED_TEXT_DS17	PS1_LOWZ_COMBINED(CFA4p1)	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2007kk.dat	eac72482e9ae4b09fd0a8f5cc5a43923e5b96f65	10356	53b76c370e2be537574982b2628dfd1dcb4d0bc96124d472da6bfc3f1ebad4a2	123	123
178	631	2008cf	65	PS1_LOWZ_COMBINED_TEXT_DS17	PS1_LOWZ_COMBINED(CFA4p1)	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008cf.dat	c31ac48a1b3613f762e8a2a4109dfd5361ec704c	3024	f7513ddc199641fab4b0ad65d9c1f446d1094a4e9efaa2580cdaecd075fe068c	31	31
205	681	2008bz	65	PS1_LOWZ_COMBINED_TEXT_DS17	PS1_LOWZ_COMBINED(CFA4p1)	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008bz.dat	4f39b2e479a9faded7a72324bdcbe9a6251368ed	3971	df4ba44e7f7b064fe577674a33d2f57cfb64e8116f548bf0451372e221f3d5e2	43	43
213	699	2008Y	51	LOSS	KAIT	Pantheon+_Data/1_DATA/photometry/LOSS/2008Y.dat	4cae28aec074f330b75f6b840e40d65b1930b8b2	1500	bc6ef8fb1b8c5652dbb1962e60610d9c6648d7c4451583605f03b6529a8c6257	22	22
214	700	2008Y	65	PS1_LOWZ_COMBINED_TEXT_DS17	PS1_LOWZ_COMBINED(CFA4p1)	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008Y.dat	9bc7b316f4b499c971368a2fb581f3488a7abb74	5797	3eef31c4cf82481e0fc7d8424b35a90ce5349b81de212bedcb8f9e8e348b3bd9	66	66
