id	contract	dependency_class	omega_m	omega_m_sigma	h_rdrag_mpc	h_rdrag_sigma_mpc	desi_omega_m	desi_omega_m_sigma	desi_h_rdrag_mpc	desi_h_rdrag_sigma_mpc	delta_omega_m	delta_h_rdrag_mpc	physical_slope_mpc_per_delta_omega_m	desi_scaled_x	desi_scaled_y	desi_scaled_radius	common_axis_projection	common_axis_orthogonal	angle_from_common_axis_deg	orthogonal_fraction	common_physical_line_residual_mpc	marginal_z_omega_m	marginal_z_h_rdrag	diagonal_norm_diagnostic	published_joint_distance_sigma
PLANCK	Planck PR4 T&E + lensing + PR4 tau	CMB_PRIMARY_COMBINATION	0.3145	0.0067	99.18	0.84	0.297462	0.008575	101.5398	0.7328	0.017037999999999998	-2.359799999999993	-138.5021716163865	1.986938775510204	-3.2202510917030467	3.7839057587683986	3.7836065329077067	0.04758566358452405	0.7205595839177297	0.01257580569343049	-0.06540498009678908	1.565686977858128	-2.116948286808752	2.63302976847149	2.0
SPT3G_D1	SPT-3G D1 T&E + MUSE lensing + PR4 tau prior	INDEPENDENT_GROUND_PRIMARY_SHARED_EXTERNAL_TAU_CALIBRATION	0.3246	0.0091	97.9	1.1	0.297462	0.008575	101.5398	0.7328	0.027137999999999995	-3.639799999999994	-134.12189549708876	3.1647813411078713	-4.966975982532743	5.889540843570205	5.889530354506966	-0.011115368761434978	0.10813476173351647	0.0018873065076999971	0.014695366247989394	2.170410672144389	-2.7537948616727657	3.5062898662166515	2.5
ACT_DR6	ACT DR6 T&E + ACT lensing + PR4 tau	INDEPENDENT_GROUND_PRIMARY_SHARED_EXTERNAL_TAU_CALIBRATION	0.33	0.01	97.2	1.2	0.297462	0.008575	101.5398	0.7328	0.03253800000000001	-4.339799999999997	-133.3763599483679	3.7945189504373196	-5.922216157205236	7.033563696867378	7.033495104251371	-0.031062780987677643	0.25303986894795666	0.004416364495499265	0.041877729640247274	2.4700331922257277	-3.0865039545971586	3.953172223979208	3.1
SPT_ACT	SPT D1 + ACT DR6 primary/lensing combination	CORRELATED_GROUND_CMB_COMBINATION	0.3277	0.0072	97.51	0.87	0.297462	0.008575	101.5398	0.7328	0.030237999999999987	-4.0297999999999945	-133.26939612408216	3.5262973760932934	-5.499181222707416	6.5326692327731	6.532594575011807	-0.031231768227132976	0.27392406675450265	0.004780858652761634	0.04215190819539494	2.700568310896173	-3.5426955699205593	4.4546336665265045	3.7
SPT_PLANCK	SPT D1 + Planck primary/lensing combination	CORRELATED_CMB_COMBINATION	0.3189	0.0054	98.63	0.67	0.297462	0.008575	101.5398	0.7328	0.021438000000000013	-2.909800000000004	-135.7309450508444	2.5000583090379025	-3.9707969432314467	4.692283017142684	4.692254220538097	0.016439063479246407	0.2007318995608784	0.003503425394245891	-0.022886017332735875	2.1155284396106864	-2.9305397900636296	3.6143497395725013	3.0
CMB_SPA	SPT D1 + Planck + ACT primary/lensing combination; corrected v2	CORRELATED_CMB_COMBINATION	0.3175	0.0055	98.77	0.69	0.297462	0.008575	101.5398	0.7328	0.020038	-2.7698000000000036	-138.22736800079866	2.336793002915452	-3.779748908296948	4.443771297923261	4.443467760823854	0.051938490213268206	0.6696843384390609	0.011687930528184695	-0.07141477821221143	1.9669631845797566	-2.7518397830180783	3.3825384492852586	2.8
