CID_a	CID_b	h0dn_row_a_1based	h0dn_row_b_1based	source_directory_a	source_directory_b	observation_count_a	observation_count_b	observation_pair_opportunity_count	rounding_compatible_edge_count	mutual_unique_rounding_compatible_match_count	negative_control_pair_classification
1999gp	2001eh	45	139	PS1_LOWZ_COMBINED_TEXT_DS17	KAIT_DS15	190	116	22040	0	0	CROSS_CID_ZERO
1999gp	2001eh	46	140	KAIT_DS15	CfA3_DJ20	87	93	8091	0	0	CROSS_CID_ZERO
1999gp	2003fa	45	155	PS1_LOWZ_COMBINED_TEXT_DS17	KAIT_DS15	190	150	28500	0	0	CROSS_CID_ZERO
1999gp	2003fa	46	156	KAIT_DS15	CfA3_DJ20	87	92	8004	0	0	CROSS_CID_ZERO
1999gp	2004as	45	109	PS1_LOWZ_COMBINED_TEXT_DS17	KAIT_DS15	190	91	17290	0	0	CROSS_CID_ZERO
1999gp	2004as	46	110	KAIT_DS15	CfA3_DJ20	87	51	4437	0	0	CROSS_CID_ZERO
1999gp	2004ef	45	81	PS1_LOWZ_COMBINED_TEXT_DS17	KAIT_DS15	190	97	18430	0	0	CROSS_CID_ZERO
1999gp	2004ef	45	82	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	190	278	52820	0	0	CROSS_CID_ZERO
1999gp	2004ef	46	82	KAIT_DS15	CSPDR3_anthony	87	278	24186	0	0	CROSS_CID_ZERO
1999gp	2004ef	46	83	KAIT_DS15	CfA3_DJ20	87	32	2784	0	0	CROSS_CID_ZERO
1999gp	2005eq	45	61	PS1_LOWZ_COMBINED_TEXT_DS17	KAIT_DS15	190	87	16530	0	0	CROSS_CID_ZERO
1999gp	2005eq	45	62	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	190	211	40090	0	0	CROSS_CID_ZERO
1999gp	2005eq	46	62	KAIT_DS15	CSPDR3_anthony	87	211	18357	0	0	CROSS_CID_ZERO
1999gp	2005eq	46	63	KAIT_DS15	CfA3_DJ20	87	141	12267	0	0	CROSS_CID_ZERO
1999gp	2005hc	45	173	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	190	163	30970	0	0	CROSS_CID_ZERO
1999gp	2005hc	46	172	KAIT_DS15	CfA3_DJ20	87	111	9657	0	0	CROSS_CID_ZERO
1999gp	2005hc	46	173	KAIT_DS15	CSPDR3_anthony	87	163	14181	0	0	CROSS_CID_ZERO
1999gp	2005iq	45	114	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	190	154	29260	0	0	CROSS_CID_ZERO
1999gp	2005iq	46	113	KAIT_DS15	CfA3_DJ20	87	67	5829	0	0	CROSS_CID_ZERO
1999gp	2005iq	46	114	KAIT_DS15	CSPDR3_anthony	87	154	13398	0	0	CROSS_CID_ZERO
1999gp	2005na	45	54	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	190	170	32300	0	0	CROSS_CID_ZERO
1999gp	2005na	45	56	PS1_LOWZ_COMBINED_TEXT_DS17	KAIT_DS15	190	68	12920	0	0	CROSS_CID_ZERO
1999gp	2005na	46	54	KAIT_DS15	CSPDR3_anthony	87	170	14790	0	0	CROSS_CID_ZERO
1999gp	2005na	46	55	KAIT_DS15	CfA3_DJ20	87	92	8004	0	0	CROSS_CID_ZERO
1999gp	2006en	45	97	PS1_LOWZ_COMBINED_TEXT_DS17	KAIT_DS15	190	65	12350	0	0	CROSS_CID_ZERO
1999gp	2006en	46	98	KAIT_DS15	CfA3_DJ20	87	58	5046	0	0	CROSS_CID_ZERO
1999gp	2006gr	45	120	PS1_LOWZ_COMBINED_TEXT_DS17	KAIT_DS15	190	72	13680	0	0	CROSS_CID_ZERO
1999gp	2006gr	46	121	KAIT_DS15	CfA3_DJ20	87	129	11223	0	0	CROSS_CID_ZERO
1999gp	2007O	45	147	PS1_LOWZ_COMBINED_TEXT_DS17	KAIT_DS15	190	34	6460	0	0	CROSS_CID_ZERO
1999gp	2007O	46	148	KAIT_DS15	CfA3_DJ20	87	55	4785	0	0	CROSS_CID_ZERO
1999gp	2007bd	45	90	PS1_LOWZ_COMBINED_TEXT_DS17	LOSS	190	20	3800	0	0	CROSS_CID_ZERO
1999gp	2007bd	45	91	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	190	110	20900	0	0	CROSS_CID_ZERO
1999gp	2007bd	46	91	KAIT_DS15	CSPDR3_anthony	87	110	9570	0	0	CROSS_CID_ZERO
1999gp	2007bd	46	92	KAIT_DS15	CfA3_DJ20	87	46	4002	0	0	CROSS_CID_ZERO
1999gp	2007co	45	50	PS1_LOWZ_COMBINED_TEXT_DS17	KAIT_DS15	190	94	17860	0	0	CROSS_CID_ZERO
1999gp	2007co	46	51	KAIT_DS15	SWIFT	87	44	3828	0	0	CROSS_CID_ZERO
1999gp	2007co	46	52	KAIT_DS15	CfA3_DJ20	87	122	10614	0	0	CROSS_CID_ZERO
1999gp	2007jg	45	144	PS1_LOWZ_COMBINED_TEXT_DS17	LOSS	190	69	13110	0	0	CROSS_CID_ZERO
1999gp	2007jg	45	145	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	190	113	21470	0	0	CROSS_CID_ZERO
1999gp	2007jg	46	145	KAIT_DS15	CSPDR3_anthony	87	113	9831	0	0	CROSS_CID_ZERO
1999gp	2007kk	45	163	PS1_LOWZ_COMBINED_TEXT_DS17	LOSS	190	85	16150	0	0	CROSS_CID_ZERO
1999gp	2007kk	46	164	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	87	123	10701	0	0	CROSS_CID_ZERO
1999gp	2008Y	45	213	PS1_LOWZ_COMBINED_TEXT_DS17	LOSS	190	22	4180	0	0	CROSS_CID_ZERO
1999gp	2008Y	46	214	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	87	66	5742	0	0	CROSS_CID_ZERO
1999gp	2008ar	45	66	PS1_LOWZ_COMBINED_TEXT_DS17	KAIT_DS15	190	72	13680	0	0	CROSS_CID_ZERO
1999gp	2008ar	45	67	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	190	132	25080	0	0	CROSS_CID_ZERO
1999gp	2008ar	46	67	KAIT_DS15	CSPDR3_anthony	87	132	11484	0	0	CROSS_CID_ZERO
1999gp	2008ar	46	68	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	87	104	9048	0	0	CROSS_CID_ZERO
1999gp	2008bz	45	204	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	190	70	13300	0	0	CROSS_CID_ZERO
1999gp	2008bz	46	204	KAIT_DS15	CSPDR3_anthony	87	70	6090	0	0	CROSS_CID_ZERO
1999gp	2008bz	46	205	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	87	43	3741	0	0	CROSS_CID_ZERO
1999gp	2008cf	45	177	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	190	96	18240	0	0	CROSS_CID_ZERO
1999gp	2008cf	46	177	KAIT_DS15	CSPDR3_anthony	87	96	8352	0	0	CROSS_CID_ZERO
1999gp	2008cf	46	178	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	87	31	2697	0	0	CROSS_CID_ZERO
1999gp	2008gg	45	87	PS1_LOWZ_COMBINED_TEXT_DS17	LOSS	190	55	10450	0	0	CROSS_CID_ZERO
1999gp	2008gg	45	88	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	190	198	37620	0	0	CROSS_CID_ZERO
1999gp	2008gg	46	88	KAIT_DS15	CSPDR3_anthony	87	198	17226	0	0	CROSS_CID_ZERO
1999gp	2008hj	45	135	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	190	127	24130	0	0	CROSS_CID_ZERO
1999gp	2008hj	46	135	KAIT_DS15	CSPDR3_anthony	87	127	11049	0	0	CROSS_CID_ZERO
1999gp	2008hj	46	136	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	87	16	1392	0	0	CROSS_CID_ZERO
1999gp	2009ad	45	65	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	190	128	24320	0	0	CROSS_CID_ZERO
1999gp	2009ad	46	64	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	87	74	6438	0	0	CROSS_CID_ZERO
1999gp	2009ad	46	65	KAIT_DS15	CSPDR3_anthony	87	128	11136	0	0	CROSS_CID_ZERO
2001eh	2003fa	139	156	KAIT_DS15	CfA3_DJ20	116	92	10672	0	0	CROSS_CID_ZERO
2001eh	2003fa	140	155	CfA3_DJ20	KAIT_DS15	93	150	13950	0	0	CROSS_CID_ZERO
2001eh	2005hc	139	172	KAIT_DS15	CfA3_DJ20	116	111	12876	0	0	CROSS_CID_ZERO
2001eh	2005hc	139	173	KAIT_DS15	CSPDR3_anthony	116	163	18908	0	0	CROSS_CID_ZERO
2001eh	2005hc	140	173	CfA3_DJ20	CSPDR3_anthony	93	163	15159	0	0	CROSS_CID_ZERO
2001eh	2007O	139	148	KAIT_DS15	CfA3_DJ20	116	55	6380	0	0	CROSS_CID_ZERO
2001eh	2007O	140	147	CfA3_DJ20	KAIT_DS15	93	34	3162	0	0	CROSS_CID_ZERO
2001eh	2007jg	139	145	KAIT_DS15	CSPDR3_anthony	116	113	13108	0	0	CROSS_CID_ZERO
2001eh	2007jg	140	144	CfA3_DJ20	LOSS	93	69	6417	0	0	CROSS_CID_ZERO
2001eh	2007jg	140	145	CfA3_DJ20	CSPDR3_anthony	93	113	10509	0	0	CROSS_CID_ZERO
2001eh	2007kk	139	164	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	116	123	14268	0	0	CROSS_CID_ZERO
2001eh	2007kk	140	163	CfA3_DJ20	LOSS	93	85	7905	0	0	CROSS_CID_ZERO
2001eh	2008Y	139	214	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	116	66	7656	0	0	CROSS_CID_ZERO
2001eh	2008Y	140	213	CfA3_DJ20	LOSS	93	22	2046	0	0	CROSS_CID_ZERO
2001eh	2008bz	139	204	KAIT_DS15	CSPDR3_anthony	116	70	8120	0	0	CROSS_CID_ZERO
2001eh	2008bz	139	205	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	116	43	4988	0	0	CROSS_CID_ZERO
2001eh	2008bz	140	204	CfA3_DJ20	CSPDR3_anthony	93	70	6510	0	0	CROSS_CID_ZERO
2001eh	2008cf	139	177	KAIT_DS15	CSPDR3_anthony	116	96	11136	0	0	CROSS_CID_ZERO
2001eh	2008cf	139	178	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	116	31	3596	0	0	CROSS_CID_ZERO
2001eh	2008cf	140	177	CfA3_DJ20	CSPDR3_anthony	93	96	8928	0	0	CROSS_CID_ZERO
2003fa	2005hc	155	172	KAIT_DS15	CfA3_DJ20	150	111	16650	0	0	CROSS_CID_ZERO
2003fa	2005hc	155	173	KAIT_DS15	CSPDR3_anthony	150	163	24450	0	0	CROSS_CID_ZERO
2003fa	2005hc	156	173	CfA3_DJ20	CSPDR3_anthony	92	163	14996	0	0	CROSS_CID_ZERO
2003fa	2007kk	155	164	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	150	123	18450	0	0	CROSS_CID_ZERO
2003fa	2007kk	156	163	CfA3_DJ20	LOSS	92	85	7820	0	0	CROSS_CID_ZERO
2003fa	2008Y	155	214	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	150	66	9900	0	0	CROSS_CID_ZERO
2003fa	2008Y	156	213	CfA3_DJ20	LOSS	92	22	2024	0	0	CROSS_CID_ZERO
2003fa	2008bz	155	204	KAIT_DS15	CSPDR3_anthony	150	70	10500	0	0	CROSS_CID_ZERO
2003fa	2008bz	155	205	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	150	43	6450	0	0	CROSS_CID_ZERO
2003fa	2008bz	156	204	CfA3_DJ20	CSPDR3_anthony	92	70	6440	0	0	CROSS_CID_ZERO
2003fa	2008cf	155	177	KAIT_DS15	CSPDR3_anthony	150	96	14400	0	0	CROSS_CID_ZERO
2003fa	2008cf	155	178	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	150	31	4650	0	0	CROSS_CID_ZERO
2003fa	2008cf	156	177	CfA3_DJ20	CSPDR3_anthony	92	96	8832	0	0	CROSS_CID_ZERO
2004as	2001eh	109	140	KAIT_DS15	CfA3_DJ20	91	93	8463	1	1	CROSS_CID_POSITIVE
2004as	2001eh	110	139	CfA3_DJ20	KAIT_DS15	51	116	5916	0	0	CROSS_CID_ZERO
2004as	2003fa	109	156	KAIT_DS15	CfA3_DJ20	91	92	8372	0	0	CROSS_CID_ZERO
2004as	2003fa	110	155	CfA3_DJ20	KAIT_DS15	51	150	7650	0	0	CROSS_CID_ZERO
2004as	2005hc	109	172	KAIT_DS15	CfA3_DJ20	91	111	10101	0	0	CROSS_CID_ZERO
2004as	2005hc	109	173	KAIT_DS15	CSPDR3_anthony	91	163	14833	0	0	CROSS_CID_ZERO
2004as	2005hc	110	173	CfA3_DJ20	CSPDR3_anthony	51	163	8313	0	0	CROSS_CID_ZERO
2004as	2005iq	109	113	KAIT_DS15	CfA3_DJ20	91	67	6097	0	0	CROSS_CID_ZERO
2004as	2005iq	109	114	KAIT_DS15	CSPDR3_anthony	91	154	14014	0	0	CROSS_CID_ZERO
2004as	2005iq	110	114	CfA3_DJ20	CSPDR3_anthony	51	154	7854	0	0	CROSS_CID_ZERO
2004as	2006gr	109	121	KAIT_DS15	CfA3_DJ20	91	129	11739	0	0	CROSS_CID_ZERO
2004as	2006gr	110	120	CfA3_DJ20	KAIT_DS15	51	72	3672	0	0	CROSS_CID_ZERO
2004as	2007O	109	148	KAIT_DS15	CfA3_DJ20	91	55	5005	0	0	CROSS_CID_ZERO
2004as	2007O	110	147	CfA3_DJ20	KAIT_DS15	51	34	1734	0	0	CROSS_CID_ZERO
2004as	2007jg	109	145	KAIT_DS15	CSPDR3_anthony	91	113	10283	0	0	CROSS_CID_ZERO
2004as	2007jg	110	144	CfA3_DJ20	LOSS	51	69	3519	0	0	CROSS_CID_ZERO
2004as	2007jg	110	145	CfA3_DJ20	CSPDR3_anthony	51	113	5763	0	0	CROSS_CID_ZERO
2004as	2007kk	109	164	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	91	123	11193	0	0	CROSS_CID_ZERO
2004as	2007kk	110	163	CfA3_DJ20	LOSS	51	85	4335	0	0	CROSS_CID_ZERO
2004as	2008Y	109	214	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	91	66	6006	0	0	CROSS_CID_ZERO
2004as	2008Y	110	213	CfA3_DJ20	LOSS	51	22	1122	0	0	CROSS_CID_ZERO
2004as	2008bz	109	204	KAIT_DS15	CSPDR3_anthony	91	70	6370	0	0	CROSS_CID_ZERO
2004as	2008bz	109	205	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	91	43	3913	0	0	CROSS_CID_ZERO
2004as	2008bz	110	204	CfA3_DJ20	CSPDR3_anthony	51	70	3570	0	0	CROSS_CID_ZERO
2004as	2008cf	109	177	KAIT_DS15	CSPDR3_anthony	91	96	8736	0	0	CROSS_CID_ZERO
2004as	2008cf	109	178	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	91	31	2821	0	0	CROSS_CID_ZERO
2004as	2008cf	110	177	CfA3_DJ20	CSPDR3_anthony	51	96	4896	0	0	CROSS_CID_ZERO
2004as	2008hj	109	135	KAIT_DS15	CSPDR3_anthony	91	127	11557	0	0	CROSS_CID_ZERO
2004as	2008hj	109	136	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	91	16	1456	0	0	CROSS_CID_ZERO
2004as	2008hj	110	135	CfA3_DJ20	CSPDR3_anthony	51	127	6477	0	0	CROSS_CID_ZERO
2004ef	2001eh	81	140	KAIT_DS15	CfA3_DJ20	97	93	9021	0	0	CROSS_CID_ZERO
2004ef	2001eh	82	139	CSPDR3_anthony	KAIT_DS15	278	116	32248	0	0	CROSS_CID_ZERO
2004ef	2001eh	82	140	CSPDR3_anthony	CfA3_DJ20	278	93	25854	0	0	CROSS_CID_ZERO
2004ef	2001eh	83	139	CfA3_DJ20	KAIT_DS15	32	116	3712	0	0	CROSS_CID_ZERO
2004ef	2003fa	81	156	KAIT_DS15	CfA3_DJ20	97	92	8924	0	0	CROSS_CID_ZERO
2004ef	2003fa	82	155	CSPDR3_anthony	KAIT_DS15	278	150	41700	0	0	CROSS_CID_ZERO
2004ef	2003fa	82	156	CSPDR3_anthony	CfA3_DJ20	278	92	25576	0	0	CROSS_CID_ZERO
2004ef	2003fa	83	155	CfA3_DJ20	KAIT_DS15	32	150	4800	0	0	CROSS_CID_ZERO
2004ef	2004as	81	110	KAIT_DS15	CfA3_DJ20	97	51	4947	1	1	CROSS_CID_POSITIVE
2004ef	2004as	82	109	CSPDR3_anthony	KAIT_DS15	278	91	25298	0	0	CROSS_CID_ZERO
2004ef	2004as	82	110	CSPDR3_anthony	CfA3_DJ20	278	51	14178	0	0	CROSS_CID_ZERO
2004ef	2004as	83	109	CfA3_DJ20	KAIT_DS15	32	91	2912	0	0	CROSS_CID_ZERO
2004ef	2005hc	81	172	KAIT_DS15	CfA3_DJ20	97	111	10767	1	1	CROSS_CID_POSITIVE
2004ef	2005hc	81	173	KAIT_DS15	CSPDR3_anthony	97	163	15811	0	0	CROSS_CID_ZERO
2004ef	2005hc	82	172	CSPDR3_anthony	CfA3_DJ20	278	111	30858	0	0	CROSS_CID_ZERO
2004ef	2005hc	83	173	CfA3_DJ20	CSPDR3_anthony	32	163	5216	0	0	CROSS_CID_ZERO
2004ef	2005iq	81	113	KAIT_DS15	CfA3_DJ20	97	67	6499	0	0	CROSS_CID_ZERO
2004ef	2005iq	81	114	KAIT_DS15	CSPDR3_anthony	97	154	14938	0	0	CROSS_CID_ZERO
2004ef	2005iq	82	113	CSPDR3_anthony	CfA3_DJ20	278	67	18626	0	0	CROSS_CID_ZERO
2004ef	2005iq	83	114	CfA3_DJ20	CSPDR3_anthony	32	154	4928	0	0	CROSS_CID_ZERO
2004ef	2006en	81	98	KAIT_DS15	CfA3_DJ20	97	58	5626	1	1	CROSS_CID_POSITIVE
2004ef	2006en	82	97	CSPDR3_anthony	KAIT_DS15	278	65	18070	0	0	CROSS_CID_ZERO
2004ef	2006en	82	98	CSPDR3_anthony	CfA3_DJ20	278	58	16124	0	0	CROSS_CID_ZERO
2004ef	2006en	83	97	CfA3_DJ20	KAIT_DS15	32	65	2080	0	0	CROSS_CID_ZERO
2004ef	2006gr	81	121	KAIT_DS15	CfA3_DJ20	97	129	12513	0	0	CROSS_CID_ZERO
2004ef	2006gr	82	120	CSPDR3_anthony	KAIT_DS15	278	72	20016	0	0	CROSS_CID_ZERO
2004ef	2006gr	82	121	CSPDR3_anthony	CfA3_DJ20	278	129	35862	0	0	CROSS_CID_ZERO
2004ef	2006gr	83	120	CfA3_DJ20	KAIT_DS15	32	72	2304	0	0	CROSS_CID_ZERO
2004ef	2007O	81	148	KAIT_DS15	CfA3_DJ20	97	55	5335	0	0	CROSS_CID_ZERO
2004ef	2007O	82	147	CSPDR3_anthony	KAIT_DS15	278	34	9452	0	0	CROSS_CID_ZERO
2004ef	2007O	82	148	CSPDR3_anthony	CfA3_DJ20	278	55	15290	0	0	CROSS_CID_ZERO
2004ef	2007O	83	147	CfA3_DJ20	KAIT_DS15	32	34	1088	0	0	CROSS_CID_ZERO
2004ef	2007bd	81	91	KAIT_DS15	CSPDR3_anthony	97	110	10670	0	0	CROSS_CID_ZERO
2004ef	2007bd	81	92	KAIT_DS15	CfA3_DJ20	97	46	4462	0	0	CROSS_CID_ZERO
2004ef	2007bd	82	90	CSPDR3_anthony	LOSS	278	20	5560	0	0	CROSS_CID_ZERO
2004ef	2007bd	82	92	CSPDR3_anthony	CfA3_DJ20	278	46	12788	0	0	CROSS_CID_ZERO
2004ef	2007bd	83	90	CfA3_DJ20	LOSS	32	20	640	0	0	CROSS_CID_ZERO
2004ef	2007bd	83	91	CfA3_DJ20	CSPDR3_anthony	32	110	3520	0	0	CROSS_CID_ZERO
2004ef	2007jg	81	145	KAIT_DS15	CSPDR3_anthony	97	113	10961	0	0	CROSS_CID_ZERO
2004ef	2007jg	82	144	CSPDR3_anthony	LOSS	278	69	19182	0	0	CROSS_CID_ZERO
2004ef	2007jg	83	144	CfA3_DJ20	LOSS	32	69	2208	0	0	CROSS_CID_ZERO
2004ef	2007jg	83	145	CfA3_DJ20	CSPDR3_anthony	32	113	3616	0	0	CROSS_CID_ZERO
2004ef	2007kk	81	164	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	97	123	11931	0	0	CROSS_CID_ZERO
2004ef	2007kk	82	163	CSPDR3_anthony	LOSS	278	85	23630	0	0	CROSS_CID_ZERO
2004ef	2007kk	82	164	CSPDR3_anthony	PS1_LOWZ_COMBINED_TEXT_DS17	278	123	34194	0	0	CROSS_CID_ZERO
2004ef	2007kk	83	163	CfA3_DJ20	LOSS	32	85	2720	0	0	CROSS_CID_ZERO
2004ef	2008Y	81	214	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	97	66	6402	0	0	CROSS_CID_ZERO
2004ef	2008Y	82	213	CSPDR3_anthony	LOSS	278	22	6116	0	0	CROSS_CID_ZERO
2004ef	2008Y	82	214	CSPDR3_anthony	PS1_LOWZ_COMBINED_TEXT_DS17	278	66	18348	0	0	CROSS_CID_ZERO
2004ef	2008Y	83	213	CfA3_DJ20	LOSS	32	22	704	0	0	CROSS_CID_ZERO
2004ef	2008bz	81	204	KAIT_DS15	CSPDR3_anthony	97	70	6790	0	0	CROSS_CID_ZERO
2004ef	2008bz	81	205	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	97	43	4171	0	0	CROSS_CID_ZERO
2004ef	2008bz	82	205	CSPDR3_anthony	PS1_LOWZ_COMBINED_TEXT_DS17	278	43	11954	0	0	CROSS_CID_ZERO
2004ef	2008bz	83	204	CfA3_DJ20	CSPDR3_anthony	32	70	2240	0	0	CROSS_CID_ZERO
2004ef	2008cf	81	177	KAIT_DS15	CSPDR3_anthony	97	96	9312	0	0	CROSS_CID_ZERO
2004ef	2008cf	81	178	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	97	31	3007	0	0	CROSS_CID_ZERO
2004ef	2008cf	82	178	CSPDR3_anthony	PS1_LOWZ_COMBINED_TEXT_DS17	278	31	8618	0	0	CROSS_CID_ZERO
2004ef	2008cf	83	177	CfA3_DJ20	CSPDR3_anthony	32	96	3072	0	0	CROSS_CID_ZERO
2004ef	2008gg	81	88	KAIT_DS15	CSPDR3_anthony	97	198	19206	0	0	CROSS_CID_ZERO
2004ef	2008gg	82	87	CSPDR3_anthony	LOSS	278	55	15290	0	0	CROSS_CID_ZERO
2004ef	2008gg	83	87	CfA3_DJ20	LOSS	32	55	1760	0	0	CROSS_CID_ZERO
2004ef	2008gg	83	88	CfA3_DJ20	CSPDR3_anthony	32	198	6336	0	0	CROSS_CID_ZERO
2004ef	2008hj	81	135	KAIT_DS15	CSPDR3_anthony	97	127	12319	1	1	CROSS_CID_POSITIVE
2004ef	2008hj	81	136	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	97	16	1552	0	0	CROSS_CID_ZERO
2004ef	2008hj	82	136	CSPDR3_anthony	PS1_LOWZ_COMBINED_TEXT_DS17	278	16	4448	0	0	CROSS_CID_ZERO
2004ef	2008hj	83	135	CfA3_DJ20	CSPDR3_anthony	32	127	4064	0	0	CROSS_CID_ZERO
2005M	1999gp	40	45	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	79	190	15010	0	0	CROSS_CID_ZERO
2005M	1999gp	41	45	CSPDR3_anthony	PS1_LOWZ_COMBINED_TEXT_DS17	381	190	72390	0	0	CROSS_CID_ZERO
2005M	1999gp	41	46	CSPDR3_anthony	KAIT_DS15	381	87	33147	0	0	CROSS_CID_ZERO
2005M	1999gp	42	46	CfA3_DJ20	KAIT_DS15	26	87	2262	0	0	CROSS_CID_ZERO
2005M	2001eh	40	140	KAIT_DS15	CfA3_DJ20	79	93	7347	0	0	CROSS_CID_ZERO
2005M	2001eh	41	139	CSPDR3_anthony	KAIT_DS15	381	116	44196	1	1	CROSS_CID_POSITIVE
2005M	2001eh	41	140	CSPDR3_anthony	CfA3_DJ20	381	93	35433	0	0	CROSS_CID_ZERO
2005M	2001eh	42	139	CfA3_DJ20	KAIT_DS15	26	116	3016	0	0	CROSS_CID_ZERO
2005M	2003fa	40	156	KAIT_DS15	CfA3_DJ20	79	92	7268	0	0	CROSS_CID_ZERO
2005M	2003fa	41	155	CSPDR3_anthony	KAIT_DS15	381	150	57150	0	0	CROSS_CID_ZERO
2005M	2003fa	41	156	CSPDR3_anthony	CfA3_DJ20	381	92	35052	0	0	CROSS_CID_ZERO
2005M	2003fa	42	155	CfA3_DJ20	KAIT_DS15	26	150	3900	0	0	CROSS_CID_ZERO
2005M	2004as	40	110	KAIT_DS15	CfA3_DJ20	79	51	4029	0	0	CROSS_CID_ZERO
2005M	2004as	41	109	CSPDR3_anthony	KAIT_DS15	381	91	34671	0	0	CROSS_CID_ZERO
2005M	2004as	41	110	CSPDR3_anthony	CfA3_DJ20	381	51	19431	0	0	CROSS_CID_ZERO
2005M	2004as	42	109	CfA3_DJ20	KAIT_DS15	26	91	2366	0	0	CROSS_CID_ZERO
2005M	2004ef	40	82	KAIT_DS15	CSPDR3_anthony	79	278	21962	0	0	CROSS_CID_ZERO
2005M	2004ef	40	83	KAIT_DS15	CfA3_DJ20	79	32	2528	0	0	CROSS_CID_ZERO
2005M	2004ef	41	81	CSPDR3_anthony	KAIT_DS15	381	97	36957	1	1	CROSS_CID_POSITIVE
2005M	2004ef	41	83	CSPDR3_anthony	CfA3_DJ20	381	32	12192	0	0	CROSS_CID_ZERO
2005M	2004ef	42	81	CfA3_DJ20	KAIT_DS15	26	97	2522	0	0	CROSS_CID_ZERO
2005M	2004ef	42	82	CfA3_DJ20	CSPDR3_anthony	26	278	7228	0	0	CROSS_CID_ZERO
2005M	2005eq	40	62	KAIT_DS15	CSPDR3_anthony	79	211	16669	0	0	CROSS_CID_ZERO
2005M	2005eq	40	63	KAIT_DS15	CfA3_DJ20	79	141	11139	0	0	CROSS_CID_ZERO
2005M	2005eq	41	61	CSPDR3_anthony	KAIT_DS15	381	87	33147	0	0	CROSS_CID_ZERO
2005M	2005eq	41	63	CSPDR3_anthony	CfA3_DJ20	381	141	53721	0	0	CROSS_CID_ZERO
2005M	2005eq	42	61	CfA3_DJ20	KAIT_DS15	26	87	2262	0	0	CROSS_CID_ZERO
2005M	2005eq	42	62	CfA3_DJ20	CSPDR3_anthony	26	211	5486	0	0	CROSS_CID_ZERO
2005M	2005hc	40	172	KAIT_DS15	CfA3_DJ20	79	111	8769	0	0	CROSS_CID_ZERO
2005M	2005hc	40	173	KAIT_DS15	CSPDR3_anthony	79	163	12877	0	0	CROSS_CID_ZERO
2005M	2005hc	41	172	CSPDR3_anthony	CfA3_DJ20	381	111	42291	0	0	CROSS_CID_ZERO
2005M	2005hc	42	173	CfA3_DJ20	CSPDR3_anthony	26	163	4238	0	0	CROSS_CID_ZERO
2005M	2005iq	40	113	KAIT_DS15	CfA3_DJ20	79	67	5293	0	0	CROSS_CID_ZERO
2005M	2005iq	40	114	KAIT_DS15	CSPDR3_anthony	79	154	12166	0	0	CROSS_CID_ZERO
2005M	2005iq	41	113	CSPDR3_anthony	CfA3_DJ20	381	67	25527	0	0	CROSS_CID_ZERO
