CID_a	CID_b	h0dn_row_a_1based	h0dn_row_b_1based	source_directory_a	source_directory_b	observation_count_a	observation_count_b	observation_pair_opportunity_count	rounding_compatible_edge_count	mutual_unique_rounding_compatible_match_count	negative_control_pair_classification
2009ad	2006gr	65	120	CSPDR3_anthony	KAIT_DS15	128	72	9216	0	0	CROSS_CID_ZERO
2009ad	2006gr	65	121	CSPDR3_anthony	CfA3_DJ20	128	129	16512	0	0	CROSS_CID_ZERO
2009ad	2007O	64	147	PS1_LOWZ_COMBINED_TEXT_DS17	KAIT_DS15	74	34	2516	0	0	CROSS_CID_ZERO
2009ad	2007O	65	147	CSPDR3_anthony	KAIT_DS15	128	34	4352	0	0	CROSS_CID_ZERO
2009ad	2007O	65	148	CSPDR3_anthony	CfA3_DJ20	128	55	7040	0	0	CROSS_CID_ZERO
2009ad	2007bd	64	90	PS1_LOWZ_COMBINED_TEXT_DS17	LOSS	74	20	1480	0	0	CROSS_CID_ZERO
2009ad	2007bd	64	91	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	74	110	8140	0	0	CROSS_CID_ZERO
2009ad	2007bd	65	90	CSPDR3_anthony	LOSS	128	20	2560	0	0	CROSS_CID_ZERO
2009ad	2007bd	65	92	CSPDR3_anthony	CfA3_DJ20	128	46	5888	0	0	CROSS_CID_ZERO
2009ad	2007jg	64	144	PS1_LOWZ_COMBINED_TEXT_DS17	LOSS	74	69	5106	0	0	CROSS_CID_ZERO
2009ad	2007jg	64	145	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	74	113	8362	0	0	CROSS_CID_ZERO
2009ad	2007jg	65	144	CSPDR3_anthony	LOSS	128	69	8832	0	0	CROSS_CID_ZERO
2009ad	2007kk	64	163	PS1_LOWZ_COMBINED_TEXT_DS17	LOSS	74	85	6290	0	0	CROSS_CID_ZERO
2009ad	2007kk	65	163	CSPDR3_anthony	LOSS	128	85	10880	0	0	CROSS_CID_ZERO
2009ad	2007kk	65	164	CSPDR3_anthony	PS1_LOWZ_COMBINED_TEXT_DS17	128	123	15744	0	0	CROSS_CID_ZERO
2009ad	2008Y	64	213	PS1_LOWZ_COMBINED_TEXT_DS17	LOSS	74	22	1628	0	0	CROSS_CID_ZERO
2009ad	2008Y	65	213	CSPDR3_anthony	LOSS	128	22	2816	0	0	CROSS_CID_ZERO
2009ad	2008Y	65	214	CSPDR3_anthony	PS1_LOWZ_COMBINED_TEXT_DS17	128	66	8448	0	0	CROSS_CID_ZERO
2009ad	2008ar	64	66	PS1_LOWZ_COMBINED_TEXT_DS17	KAIT_DS15	74	72	5328	0	0	CROSS_CID_ZERO
2009ad	2008ar	64	67	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	74	132	9768	0	0	CROSS_CID_ZERO
2009ad	2008ar	65	66	CSPDR3_anthony	KAIT_DS15	128	72	9216	0	0	CROSS_CID_ZERO
2009ad	2008ar	65	68	CSPDR3_anthony	PS1_LOWZ_COMBINED_TEXT_DS17	128	104	13312	0	0	CROSS_CID_ZERO
2009ad	2008bz	64	204	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	74	70	5180	0	0	CROSS_CID_ZERO
2009ad	2008bz	65	205	CSPDR3_anthony	PS1_LOWZ_COMBINED_TEXT_DS17	128	43	5504	0	0	CROSS_CID_ZERO
2009ad	2008cf	64	177	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	74	96	7104	0	0	CROSS_CID_ZERO
2009ad	2008cf	65	178	CSPDR3_anthony	PS1_LOWZ_COMBINED_TEXT_DS17	128	31	3968	0	0	CROSS_CID_ZERO
2009ad	2008gg	64	87	PS1_LOWZ_COMBINED_TEXT_DS17	LOSS	74	55	4070	0	0	CROSS_CID_ZERO
2009ad	2008gg	64	88	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	74	198	14652	0	0	CROSS_CID_ZERO
2009ad	2008gg	65	87	CSPDR3_anthony	LOSS	128	55	7040	0	0	CROSS_CID_ZERO
2009ad	2008hj	64	135	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	74	127	9398	0	0	CROSS_CID_ZERO
