CID	h0dn_row_a_1based	h0dn_row_b_1based	observation_index_a_1based	observation_index_b_1based	filter_token_a	filter_token_b	payload_a_sha256	payload_b_sha256	absolute_mjd_delta_days	mjd_rounding_intervals_overlap	absolute_mjd_delta_le_0p11_day	exact_filter_token_equal	same_public_transmission_blob	same_kcor_filter_definition	match_classification	evidence_boundary
2004as	109	110	58	31	C	d	206c1365b01c4483da66d0e8a26bb2182b7fce41f9aef58399d028da361b8cb5	1ffe784b40db00fc7d47d1eb87cb4a21675157924caca7d6c8cca35100790caf	2.86091	NO	NO	NO	NO	NO	MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD_MATCH	PUBLISHED_NUMERIC_PAYLOAD_REUSE_OR_AGREEMENT_NOT_PHYSICAL_EXPOSURE_IDENTITY
2005hc	172	173	12	154	f	J	5442961976b830853015cc32fc5ccd48c16b7c37693ba955b5ac6fa44246ec88	7c5acf68c4e570f2ecd012681c2df99aafb80d54b87bd5000c9289574f84b06e	10.61800	NO	NO	NO	NO	NO	MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD_MATCH	PUBLISHED_NUMERIC_PAYLOAD_REUSE_OR_AGREEMENT_NOT_PHYSICAL_EXPOSURE_IDENTITY
2007co	50	52	30	72	F	i	bdb3aa99ca45c27f330bd3091c7aa92abdc76de70789fd2f1d7145451ab37fd7	bdb3aa99ca45c27f330bd3091c7aa92abdc76de70789fd2f1d7145451ab37fd7	9.98319	NO	NO	NO	NO	NO	MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD_MATCH	PUBLISHED_NUMERIC_PAYLOAD_REUSE_OR_AGREEMENT_NOT_PHYSICAL_EXPOSURE_IDENTITY
2007qe	5	6	2	1	F	g	17e237bbcbf52bddfa629ef4f586ca59ecab32577b450e55957f66f6bf9be6b1	674326d96a815703d4743af4f805c4d89f8a71c55ead2db31fb85354ab3798dc	0.10000	NO	YES	NO	NO	NO	MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD_MATCH	PUBLISHED_NUMERIC_PAYLOAD_REUSE_OR_AGREEMENT_NOT_PHYSICAL_EXPOSURE_IDENTITY
