h0dn_row_1based	official_row_1based	CID	IDSURVEY	final_dependency_classification
106	519	SN2016hpx	150	CATALOG_ONLY_UNIQUE
107	520	SN2017cii	150	CATALOG_ONLY_UNIQUE
108	521	2006te	64	CATALOG_ONLY_UNIQUE
109	523	2004as	57	CATALOG_ONLY_UNIQUE
110	524	2004as	63	CATALOG_ONLY_UNIQUE
111	527	2008gp	51	CATALOG_ONLY_UNIQUE
112	528	2010ag	66	CATALOG_ONLY_UNIQUE
113	529	2005iq	64	CATALOG_ONLY_UNIQUE
114	530	2005iq	5	CATALOG_ONLY_UNIQUE
115	531	PS15bsq	150	CATALOG_ONLY_UNIQUE
116	532	2004L	63	CATALOG_ONLY_UNIQUE
117	533	2003gn	57	CATALOG_ONLY_UNIQUE
118	534	2003cq	63	CATALOG_ONLY_UNIQUE
119	535	2006S	64	CATALOG_ONLY_UNIQUE
120	537	2006gr	57	CATALOG_ONLY_UNIQUE
121	538	2006gr	64	CATALOG_ONLY_UNIQUE
122	539	ASASSN-16dw	150	CATALOG_ONLY_UNIQUE
123	542	1996bl	61	CATALOG_ONLY_UNIQUE
124	543	2003kc	63	CATALOG_ONLY_UNIQUE
125	545	ASASSN-15jl	150	CATALOG_ONLY_UNIQUE
126	546	1992bg	50	CATALOG_ONLY_UNIQUE
127	550	ASASSN-15tg	150	CATALOG_ONLY_UNIQUE
128	552	PTSS-16efw	150	CATALOG_ONLY_UNIQUE
129	553	2016fbk	51	CATALOG_ONLY_UNIQUE
130	555	1994T	61	CATALOG_ONLY_UNIQUE
131	556	ASASSN-15mi	150	CATALOG_ONLY_UNIQUE
132	557	ASASSN-15ss	150	CATALOG_ONLY_UNIQUE
133	558	2001ck	57	CATALOG_ONLY_UNIQUE
134	559	PS15bbn	150	CATALOG_ONLY_UNIQUE
135	561	2008hj	5	CATALOG_ONLY_UNIQUE
136	562	2008hj	65	CATALOG_ONLY_UNIQUE
137	568	2002hu	63	CATALOG_ONLY_UNIQUE
138	569	2000cf	62	CATALOG_ONLY_UNIQUE
139	570	2001eh	57	CATALOG_ONLY_UNIQUE
140	571	2001eh	63	CATALOG_ONLY_UNIQUE
141	572	ASASSN-16db	150	CATALOG_ONLY_UNIQUE
142	573	AT2016hns	150	CATALOG_ONLY_UNIQUE
143	574	ASASSN-15bc	150	CATALOG_ONLY_UNIQUE
144	575	2007jg	51	CATALOG_ONLY_UNIQUE
145	576	2007jg	5	CATALOG_ONLY_UNIQUE
