mode_contract	delta_Omega_m	delta_q_Mpc	posterior_predictive_p	max_abs_whitened_component	Planck_delta_sigma	SPT_delta_sigma	ACT_delta_sigma
COMMON_ISO	0.0033093629345009035	-0.6645758757883584	0.1140227762267225	1.5803672974971172	-1.1248703078126627	-0.8282088213559546	-0.9903068088446708
DIFFERENTIAL_ISO	0.0012001805527258047	-0.05984691635735828	0.2266790178819009	1.208957905422659	0.0487341056980814	0.0423067934562713	0.0627092544252176
COMMON_AP	-0.00022589583852838935	0.017496364689478128	0.938405815976134	0.0772736958738021	-0.0018520097252321	0.0004640601505845	-0.0005925421256431
DIFFERENTIAL_AP	0.0009438906048727103	-0.06634440637492389	0.1735988781617541	1.3607304814187595	-0.0043836206887122	-0.0005633994529659	0.0162073466554408
ALL_ISO	0.004270476747176233	-0.6894294227080024	0.1548703163722415	1.5059819314920415	-1.10523797026715	-0.8145364516639386	-0.9442765846751122
ALL_AP	0.0008217408817611238	-0.0569169012896964	0.3958849268824262	1.3607198733276995	-0.0067920908794394	-0.000825729742488	0.0153352312702241
