CID	row_count	h0dn_rows_1based	IDSURVEY_codes	survey_labels	row_lineage_statuses	row_lineage_status_interpretations	unique_resolved_row_count	unique_compatible_candidate_row_count	distinct_resolved_file_sha256_count	distinct_compatible_candidate_sha256_count	pair_count	resolved_pair_count	compatible_candidate_pair_count	pairs_with_byte_identical_observation_lines	maximum_shared_exact_observation_line_count	group_lineage_classification	group_lineage_classification_legacy	group_lineage_interpretation	evidence_level	direct_final_measurement_ancestry
2006gr	2	120;121	57;64	LOSS2;CFA3K	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE;UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	NO_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE;UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	1	1	1	1	1	0	0	0		PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	ONE_OR_MORE_ROWS_LACK_A_UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2008hj	2	135;136	5;65	CSP;CFA4p2	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE;NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE;NO_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	1	1	1	1	1	0	0	0		PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	ONE_OR_MORE_ROWS_LACK_A_UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2001eh	2	139;140	57;63	LOSS2;CFA3S	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE;UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	NO_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE;UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	1	1	1	1	1	0	0	0		PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	ONE_OR_MORE_ROWS_LACK_A_UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2007jg	2	144;145	51;5	LOSS1;CSP	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE;UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	NO_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE;UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	1	1	1	1	1	0	0	0		PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	ONE_OR_MORE_ROWS_LACK_A_UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2007O	2	147;148	57;64	LOSS2;CFA3K	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE;UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	NO_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE;UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	1	1	1	1	1	0	0	0		PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	ONE_OR_MORE_ROWS_LACK_A_UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2003fa	2	155;156	57;63	LOSS2;CFA3S	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE;UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	NO_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE;UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	1	1	1	1	1	0	0	0		PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	ONE_OR_MORE_ROWS_LACK_A_UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2007kk	2	163;164	51;65	LOSS1;CFA4p2	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE;NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	NO_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE;NO_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	0	0	0	0	1	0	0	0		PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	ONE_OR_MORE_ROWS_LACK_A_UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2005hc	2	172;173	64;5	CFA3K;CSP	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE;UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE;UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	2	2	2	2	1	1	1	0	0	ALL_ROWS_UNIQUE_DISTINCT_PUBLIC_PHOTOMETRY_FILES	ALL_ROWS_UNIQUE_DISTINCT_PUBLIC_PHOTOMETRY_FILES	ALL_ROWS_HAVE_DISTINCT_UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATES	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2008cf	2	177;178	5;65	CSP;CFA4p2	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE;NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE;NO_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	1	1	1	1	1	0	0	0		PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	ONE_OR_MORE_ROWS_LACK_A_UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2008bz	2	204;205	5;65	CSP;CFA4p2	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE;NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE;NO_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	1	1	1	1	1	0	0	0		PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	ONE_OR_MORE_ROWS_LACK_A_UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2008Y	2	213;214	51;65	LOSS1;CFA4p2	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE;NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	NO_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE;NO_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	0	0	0	0	1	0	0	0		PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	ONE_OR_MORE_ROWS_LACK_A_UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
