target_h0dn_row_1based	target_CID	target_IDSURVEY	target_survey_label	path	source_directory	SNID	SURVEY	git_blob_sha1	sha256	used_by_other_main_row
46	1999gp	57	LOSS2	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/LOWZ_JRK07_1999gp.DAT	PS1_LOWZ_COMBINED_TEXT_DS17	1999gp	PS1_LOWZ_COMBINED(CFA2)	152a732ed888105184b6d803756ad31053f5228f	4feac81b9f6404c9317f648fc82edf84bf225703a4293150657fadf9e514db87	true
50	2007co	57	LOSS2	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007co.DAT	CfA3_DJ20	2007co	PS1_LOWZ_COMBINED(CFA3K)	459166ac2f93012c731c8283902de80c13bd38ba	18bc97090cdf56598f5a7032a2c3cac21ec456ad6c26d2f7c091894caf909f9a	true
50	2007co	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2007co.dat	KAIT_DS15	2007co	KAITM	08c6a18ece30094b347131c147befe06fa51e605	084e60debe6378c609303082f34b240ea9182528fb7926178cb675e7e56bd764	false
50	2007co	57	LOSS2	Pantheon+_Data/1_DATA/photometry/SWIFT/SN2007co.dat	SWIFT	2007co	SWIFT	4e483f46f9bc61009ba0358d9413d5e03ddf72e9	982703809abc3764a86843e1d98639d875907accbdea8f62b38699fd9f042cdc	true
56	2005na	57	LOSS2	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005na.DAT	CSPDR3_anthony	2005na	CSP	e5a9dc2206bb68ef5d45d1892b197b28a1fca9a0	bab6ff1fd417ababc82e596b0769caf68b9fd6e03b0426f00721df8f20932c86	true
56	2005na	57	LOSS2	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005na.DAT	CfA3_DJ20	2005na	PS1_LOWZ_COMBINED(CFA3K)	01c088ad8ea27b6e2742e60139d91bb2fb6846cc	b51f333b277ece6232275ee40f017f882b2ba0d97d0240ad7c4ab863b84fb9ec	true
56	2005na	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2005na.dat	KAIT_DS15	2005na	KAITM	016555e5be926a21d0b715eb6529fc0ef6395791	69ad8e36ec1110d405d7ff3cb26252630429a1965d395d8ef2259d95c2a5f907	false
61	2005eq	57	LOSS2	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005eq.DAT	CSPDR3_anthony	2005eq	CSP	245305d11c2a2db54644548e8d98204da1365286	270ce69fd8868281bc94545003441173362b347db901e32e5a7004a36918a4e0	true
61	2005eq	57	LOSS2	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005eq.DAT	CfA3_DJ20	2005eq	PS1_LOWZ_COMBINED(CFA3K)	b1fb313372b6b062a017f91be0fca55ad39bffe2	0db54bb1d1af09cdc1e0cdacd99fee966f38c4e0e1f2ef98f8292064bd9f82b5	true
61	2005eq	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2005eq.dat	KAIT_DS15	2005eq	KAITM	a1612ac2da177336cb1a4bc4e911aaf513614c14	64091096b926b5b61414772ac2d660e90c18a82e1255c2392e5261e4cdc680a7	false
