h0dn_row_1based	official_row_1based	CID	IDSURVEY	survey_label	source_directory	path	git_blob_sha1	bytes	sha256	SNID	SURVEY	NOBS	observation_line_count	observation_lines_sha256	active_list_occurrences	ignore_list_occurrences	evidence_level	direct_final_measurement_ancestry
51	418	2007co	56	SOUSA	SWIFT	Pantheon+_Data/1_DATA/photometry/SWIFT/SN2007co.dat	4e483f46f9bc61009ba0358d9413d5e03ddf72e9	2586	982703809abc3764a86843e1d98639d875907accbdea8f62b38699fd9f042cdc	2007co	SWIFT	44	44	95ef61c8ad0f86478dbd0fcb359f2411ba114b107addf94e821ea182abb2ae01	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
52	419	2007co	64	CFA3K	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007co.DAT	459166ac2f93012c731c8283902de80c13bd38ba	10352	18bc97090cdf56598f5a7032a2c3cac21ec456ad6c26d2f7c091894caf909f9a	2007co	PS1_LOWZ_COMBINED(CFA3K)	122	122	3d762a7415f44acd7a6c08986910c6e7e5daa208ffd56079f15bc915f11027b8	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
54	423	2005na	5	CSP	CSPDR3_anthony	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005na.DAT	e5a9dc2206bb68ef5d45d1892b197b28a1fca9a0	11575	bab6ff1fd417ababc82e596b0769caf68b9fd6e03b0426f00721df8f20932c86	2005na	CSP	170	170	5186e44922e5e59856ba20fc2e8ab9117cfb7b557001eed45707a7895dbb1b2b	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
55	424	2005na	64	CFA3K	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005na.DAT	01c088ad8ea27b6e2742e60139d91bb2fb6846cc	7952	b51f333b277ece6232275ee40f017f882b2ba0d97d0240ad7c4ab863b84fb9ec	2005na	PS1_LOWZ_COMBINED(CFA3K)	92	92	8c4d41d4a79677d566513aea7adfd9cdcc33f0d7eb40c712a8cdcd2118a108e5	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
62	434	2005eq	5	CSP	CSPDR3_anthony	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005eq.DAT	245305d11c2a2db54644548e8d98204da1365286	14239	270ce69fd8868281bc94545003441173362b347db901e32e5a7004a36918a4e0	2005eq	CSP	211	211	075f45ff92baee07ad43294ede4994d72f08415a8a84715a0d8e39cb1f749b39	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
63	435	2005eq	64	CFA3K	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005eq.DAT	b1fb313372b6b062a017f91be0fca55ad39bffe2	11870	0db54bb1d1af09cdc1e0cdacd99fee966f38c4e0e1f2ef98f8292064bd9f82b5	2005eq	PS1_LOWZ_COMBINED(CFA3K)	141	141	dee372a96578bd0138ccfc141fa9fff0bb26589d74959e1902749faf37e7b847	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
65	438	2009ad	5	CSP	CSPDR3_anthony	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2009ad.DAT	3224dd7606ddb830216c2ab3ffcffab9ac8ba271	8837	c431957455b416c3f91172d84436db3ce7c2ecb08cff19b1174a809d5cd64a49	2009ad	CSP	128	128	39534a836545f32febe094a90436fda18eb1c89becd443ea3205ea3e60e6df45	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
67	441	2008ar	5	CSP	CSPDR3_anthony	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008ar.DAT	5df51a0ebdce79a305bdf67c2c49396be7eeaf22	9105	fa3ebdc6d6b47ed14ac1cc347bb3a7c45b2acea1d9d2a283c8273d2c9e69ba93	2008ar	CSP	132	132	6ad8d8e4363b339faa52760d0c5051d5cde0d140e16478c38fa952fbb97cb518	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
82	470	2004ef	5	CSP	CSPDR3_anthony	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2004ef.DAT	b07e1be51323af674209527520cae1e12eca7cf7	18595	566b89395e31f1140954e6c77653d0a163739d9baf32a8afa414113ebcedcbdf	2004ef	CSP	278	278	4fca1f5ef89fcdb479a82d6193c70133a9dfb52b6e22afe5b5bf36810cff3ebc	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
83	471	2004ef	64	CFA3K	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2004ef.DAT	44712567be55bc04e11b0bd1d0fd7b958c945813	3151	02878c7ef5200a532acbf1122401c9c24250b51598dfcd3b39e67ffd1e91abea	2004ef	PS1_LOWZ_COMBINED(CFA3K)	32	32	38ef606738498a92b14227be4be909c8921c4d3df32521322f0658f940385291	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
88	488	2008gg	5	CSP	CSPDR3_anthony	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008gg.DAT	51af12da5d6ea339cfbdf242dc701c7c16a24f1c	13395	da05c484a6cae222e86d0127e7fdfca26166d41cdea94b6eab4266a91813d950	2008gg	CSP	198	198	ab4628753b0e50ba50d02f35bbab4cf8f6c7addf0a4db9f5a86c2ce91fe1220c	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
91	493	2007bd	5	CSP	CSPDR3_anthony	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2007bd.DAT	defc38c8c161450ea9ac1138c7e66a1d8d47638e	7670	d001faf2bcf62d6da27057a94db6fd6c33bf98a29e59e47aee0b16b08ffa1263	2007bd	CSP	110	110	74e02a15429a7fd2d71b08cdd683fe3c5bb3d6b8e67d80ea98ff6ad8a429489f	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
